iter	MultiClass
0	1.644654758
1	1.418663499
2	1.265357138
3	1.148342502
4	1.055741885
5	0.9811502745
6	0.9181497666
7	0.8664584254
8	0.8227003389
9	0.7841442721
10	0.7507766189
11	0.7213107448
12	0.6943901217
13	0.6709487634
14	0.6508841659
15	0.6329469229
16	0.6170550473
17	0.6035052072
18	0.5908477387
19	0.5797782426
20	0.5699903946
21	0.5604143514
22	0.5522524567
23	0.5448053187
24	0.5382383796
25	0.5320968587
26	0.5269729781
27	0.5222986286
28	0.5178627082
29	0.5139542206
30	0.51038791
31	0.5066388053
32	0.5037144337
33	0.5010950148
34	0.498640167
35	0.4965034417
36	0.4944754568
37	0.4926640119
38	0.4909509048
39	0.4892570247
40	0.4879153767
41	0.4867333899
42	0.4851806734
43	0.4841758693
44	0.4830461667
45	0.4822166279
46	0.481197078
47	0.4801747611
48	0.4793012718
49	0.4786120684
50	0.4778661398
51	0.4769072535
52	0.4762474677
53	0.4753689334
54	0.4747705834
55	0.4742602889
56	0.473749687
57	0.4730057343
58	0.4724729574
59	0.4720443265
60	0.4713464994
61	0.4708017136
62	0.4703245535
63	0.4699028748
64	0.4693679241
65	0.4689044208
66	0.4684801393
67	0.4682819295
68	0.4674984253
69	0.4671198004
70	0.466610099
71	0.4660580506
72	0.4653312415
73	0.4650315669
74	0.4645891661
75	0.464243056
76	0.4640359939
77	0.4636418384
78	0.4631256253
79	0.4625571634
80	0.4621399322
81	0.4618646573
82	0.4616259225
83	0.4613906862
84	0.4605575321
85	0.4602338286
86	0.4600868101
87	0.4597918625
88	0.4594143698
89	0.4591604371
90	0.4589483842
91	0.4586713956
92	0.4585455289
93	0.4583045315
94	0.4581292266
95	0.4576311579
96	0.4570061247
97	0.4564921952
98	0.4562927375
99	0.4561017802
100	0.4558671004
101	0.4556542073
102	0.4555074472
103	0.4552982613
104	0.4550130891
105	0.4543097955
106	0.453839844
107	0.4537659448
108	0.4535206805
109	0.453351359
110	0.4531246413
111	0.4528197188
112	0.452588048
113	0.4523678824
114	0.4521768362
115	0.4515300237
116	0.4508703557
117	0.4505139832
118	0.4502802084
119	0.4501331891
120	0.4500251838
121	0.4495303906
122	0.449325212
123	0.4490183144
124	0.4486707092
125	0.4484781343
126	0.4481709327
127	0.4479472996
128	0.4477455544
129	0.4474066205
130	0.4471381486
131	0.4469376062
132	0.4465748408
133	0.4464280813
134	0.4461025959
135	0.4458205961
136	0.445685736
137	0.4453562098
138	0.4451930558
139	0.4448657574
140	0.4445533718
141	0.4441070543
142	0.4439681082
143	0.4436788945
144	0.4434994706
145	0.4431045649
146	0.4430110769
147	0.4429067892
148	0.442768823
149	0.4425889305
150	0.4425225431
151	0.4423300065
152	0.4420937336
153	0.4418967239
154	0.4418442904
155	0.4416801934
156	0.4416209102
157	0.4413931879
158	0.4411691814
159	0.4410500216
160	0.4409519764
161	0.4407316503
162	0.4405232033
163	0.4403072583
164	0.4400758603
165	0.4399571148
166	0.4399113389
167	0.4398115531
168	0.439670085
169	0.4395285919
170	0.4393181949
171	0.4392095492
172	0.4390811873
173	0.4390002767
174	0.4389155824
175	0.4388146934
176	0.4386686255
177	0.4385215172
178	0.4383940897
179	0.4382896269
180	0.4381491256
181	0.4379986944
182	0.4379280208
183	0.4378566793
184	0.4377119016
185	0.43760082
186	0.4375024812
187	0.4374295458
188	0.4373006047
189	0.4371992257
190	0.4370268635
191	0.4369309921
192	0.4367980001
193	0.436699785
194	0.4366508812
195	0.4365322547
196	0.4364126854
197	0.4362476547
198	0.4361564194
199	0.4360527024
200	0.4359231072
201	0.4357780908
202	0.4356941579
203	0.4355076186
204	0.4353955535
205	0.4352952853
206	0.4351065253
207	0.4350131909
208	0.4348869664
209	0.4347997887
210	0.4346633726
211	0.4345795907
212	0.4344773135
213	0.4343191822
214	0.4341951602
215	0.4339725675
216	0.4338383388
217	0.4337718456
218	0.4335979196
219	0.4335053366
220	0.4334066997
221	0.4333315975
222	0.433241216
223	0.4331225473
224	0.4330266344
225	0.4329614048
226	0.432818715
227	0.432640113
228	0.432456044
229	0.4323936139
230	0.4323214721
231	0.4322198308
232	0.4321495407
233	0.4320706484
234	0.4319791762
235	0.4317417387
236	0.4316798895
237	0.4315528269
238	0.4314202531
239	0.4313674271
240	0.4312561903
241	0.4310286479
242	0.4309099902
243	0.4307914928
244	0.4307433535
245	0.4306816443
246	0.4305752854
247	0.4305040382
248	0.4304471468
249	0.4303940083
250	0.4303200476
251	0.4302642569
252	0.4302149504
253	0.4301292385
254	0.4300777716
255	0.4299864342
256	0.4299414008
257	0.4298338981
258	0.4297505271
259	0.4296281748
260	0.4295776641
261	0.4295321878
262	0.4294288362
263	0.4293610915
264	0.4292912675
265	0.4292406867
266	0.4291735023
267	0.4290219658
268	0.4289663758
269	0.4289053862
270	0.4286419307
271	0.4285252681
272	0.4284190313
273	0.4282985012
274	0.4282335826
275	0.4281394233
276	0.4281079474
277	0.4280388185
278	0.4279279097
279	0.4277466442
280	0.4274791567
281	0.4274090966
282	0.4273559778
283	0.4272824884
284	0.4271954944
285	0.4270978167
286	0.4270666567
287	0.4269876736
288	0.4268948662
289	0.4268507689
290	0.4267886982
291	0.426567295
292	0.4265158514
293	0.4264452114
294	0.4263735595
295	0.4263183574
296	0.426267944
297	0.4262276244
298	0.4261546487
299	0.4260273097
300	0.4259524552
301	0.4259139313
302	0.425815739
303	0.4257036817
304	0.4256321854
305	0.4254976669
306	0.4254367505
307	0.4253946244
308	0.4253410017
309	0.425246493
310	0.4251736664
311	0.4251455763
312	0.4250559698
313	0.4249813616
314	0.4249262652
315	0.4248610599
316	0.4247840306
317	0.4246840092
318	0.4246199946
319	0.4245875008
320	0.4245311795
321	0.4244160903
322	0.4243138616
323	0.4242628343
324	0.4242059692
325	0.4241717022
326	0.4240759552
327	0.4239980305
328	0.4239780449
329	0.4238441728
330	0.423780204
331	0.4237268519
332	0.4236220612
333	0.4235291528
334	0.4234231377
335	0.4233519058
336	0.4232864335
337	0.4232351596
338	0.4231660221
339	0.4231168482
340	0.4230133606
341	0.422979269
342	0.4229357626
343	0.4228992893
344	0.4228327219
345	0.4227167367
346	0.4226783252
347	0.4226182166
348	0.4225636517
349	0.4224712951
350	0.422446889
351	0.4223451167
352	0.4222689979
353	0.4221423951
354	0.4220158388
355	0.4219419664
356	0.4218228458
357	0.4217266181
358	0.4216881614
359	0.4216087555
360	0.4215386754
361	0.421490795
362	0.4214673358
363	0.4214179712
364	0.4213902537
365	0.421324856
366	0.4212643163
367	0.4211020032
368	0.4210746393
369	0.421029974
370	0.4209856624
371	0.4208212356
372	0.4207597122
373	0.4206506027
374	0.4205974235
375	0.4205494546
376	0.4205074311
377	0.4204257344
378	0.4203668335
379	0.420251399
380	0.4201511466
381	0.4201064671
382	0.4200522561
383	0.4199081744
384	0.4198460461
385	0.4198019945
386	0.4197302504
387	0.419670571
388	0.4196319041
389	0.4195702504
390	0.4194626813
391	0.419376504
392	0.4192695965
393	0.4191860994
394	0.4191111771
395	0.4190584656
396	0.4190343393
397	0.4189567319
398	0.4188896794
399	0.4188302977
400	0.4188107292
401	0.4187081742
402	0.4186688036
403	0.4186556009
404	0.4186185597
405	0.4185594254
406	0.4185345566
407	0.4184838764
408	0.4184432924
409	0.4183926058
410	0.418311516
411	0.4182587587
412	0.4181808833
413	0.4180889702
414	0.4180085772
415	0.4179623512
416	0.4178712896
417	0.4177966527
418	0.4177270502
419	0.4176970949
420	0.4176317003
421	0.4175479983
422	0.4174851814
423	0.4174110679
424	0.4173439061
425	0.417298433
426	0.4172656253
427	0.4172381191
428	0.4172037576
429	0.4171402664
430	0.4170859216
431	0.4170398059
432	0.4169125013
433	0.416870141
434	0.416807927
435	0.4167298151
436	0.4166773228
437	0.4166344795
438	0.4165546318
439	0.4164867605
440	0.4164419907
441	0.4163534689
442	0.4162796041
443	0.4161988044
444	0.4161520663
445	0.4161385088
446	0.4160897464
447	0.4160347967
448	0.4159651068
449	0.4159179357
450	0.4158652461
451	0.4158227474
452	0.4157732936
453	0.4157333321
454	0.4156946829
455	0.4156208173
456	0.4155495067
457	0.4155051052
458	0.4154344693
459	0.4153823002
460	0.4153279955
461	0.4152336297
462	0.4151865695
463	0.4151612471
464	0.4150671374
465	0.4150348878
466	0.4149888577
467	0.4149166149
468	0.4148616184
469	0.4147902795
470	0.4147414793
471	0.4146782504
472	0.4146088656
473	0.4145758722
474	0.4144964972
475	0.4144200802
476	0.4143699144
477	0.4143242831
478	0.4142597868
479	0.4142050166
480	0.4141091271
481	0.4140035376
482	0.4139514149
483	0.4138823149
484	0.4138393779
485	0.4137660124
486	0.4136846543
487	0.4136270988
488	0.4135409444
489	0.4134834957
490	0.4134390885
491	0.4133825915
492	0.4133489615
493	0.4132971546
494	0.4132723288
495	0.4132217245
496	0.413184826
497	0.4131367948
498	0.4130883734
499	0.413028999
500	0.4130076912
501	0.4129894298
502	0.4128898112
503	0.4128377601
504	0.4128134581
505	0.4127877108
506	0.4126933789
507	0.4126031473
508	0.4125551581
509	0.4125444758
510	0.4124685594
511	0.4124074925
512	0.4123615932
513	0.4123030779
514	0.4122385118
515	0.4121948301
516	0.4121395284
517	0.4120939344
518	0.4120502727
519	0.4119812973
520	0.4119246512
521	0.4118795822
522	0.4118264313
523	0.4118104261
524	0.4117528281
525	0.41168337
526	0.4116237882
527	0.4115654676
528	0.4115086771
529	0.411457653
530	0.4114308495
531	0.4114075225
532	0.4113508947
533	0.4112925764
534	0.4112210719
535	0.4111567803
536	0.4111192915
537	0.4110561803
538	0.4109888879
539	0.4109456372
540	0.4108931664
541	0.4108338081
542	0.4108026944
543	0.410748451
544	0.4106767234
545	0.4106465749
546	0.4106013024
547	0.4105253234
548	0.4103884441
549	0.4103331639
550	0.4102893825
551	0.4102431556
552	0.4101787053
553	0.4101519489
554	0.4100812183
555	0.4100281278
556	0.4099674077
557	0.409914322
558	0.4098777471
559	0.4098367426
560	0.4097900741
561	0.4097590513
562	0.409686247
563	0.4096432773
564	0.4095892892
565	0.4095526467
566	0.4095046216
567	0.4094646604
568	0.4094266674
569	0.4093780884
570	0.4093238449
571	0.4092785992
572	0.4092246488
573	0.4091703534
574	0.4091273627
575	0.4090916338
576	0.4090543597
577	0.408998439
578	0.4089737493
579	0.4088979161
580	0.4088562674
581	0.4088156222
582	0.4087649814
583	0.4086477836
584	0.4085842387
585	0.4085544097
586	0.4085137587
587	0.408481352
588	0.4084348707
589	0.4084009427
590	0.4083587933
591	0.4082976143
592	0.4082710231
593	0.4082402788
594	0.4082083277
595	0.4081697653
596	0.4081113886
597	0.4080688633
598	0.408031312
599	0.4080007377
600	0.4079534352
601	0.4079251789
602	0.407873574
603	0.4078493492
604	0.4078018107
605	0.4077672315
606	0.4077172154
607	0.4076607456
608	0.4076020247
609	0.4075611496
610	0.4075130887
611	0.4074809591
612	0.4074406646
613	0.4073909716
614	0.4073279187
615	0.407284782
616	0.4072114638
617	0.4071427449
618	0.407074897
619	0.4070412919
620	0.4070140463
621	0.4069671367
622	0.4069254515
623	0.4068759795
624	0.4068389062
625	0.4068025169
626	0.4067584798
627	0.4067143828
628	0.40668663
629	0.4066349174
630	0.4066065205
631	0.406556309
632	0.4065208621
633	0.4064560418
634	0.4063943615
635	0.4063352442
636	0.4062843164
637	0.4062367346
638	0.4061465767
639	0.406109626
640	0.4060508409
641	0.4060010449
642	0.4059850195
643	0.4059588384
644	0.4059125155
645	0.4058655703
646	0.4058229203
647	0.4057900198
648	0.4057434008
649	0.4057199666
650	0.4056940918
651	0.405643246
652	0.405606955
653	0.4055736236
