iter	Passed	Remaining
0	55	55827
1	106	52988
2	163	54466
3	217	54134
4	277	55299
5	330	54764
6	385	54661
7	445	55212
8	498	54841
9	554	54861
10	615	55363
11	673	55441
12	731	55546
13	790	55681
14	851	55936
15	907	55803
16	965	55837
17	1019	55636
18	1083	55953
19	1143	56031
20	1201	56015
21	1268	56371
22	1324	56272
23	1379	56092
24	1434	55960
25	1493	55945
26	1547	55771
27	1595	55382
28	1651	55311
29	1714	55429
30	1769	55324
31	1835	55528
32	1890	55393
33	1938	55065
34	1997	55076
35	2061	55194
36	2123	55259
37	2187	55369
38	2247	55383
39	2306	55350
40	2371	55470
41	2429	55420
42	2486	55334
43	2545	55308
44	2602	55221
45	2661	55196
46	2715	55068
47	2763	54818
48	2825	54834
49	2884	54796
50	2940	54719
51	2995	54617
52	3061	54711
53	3119	54645
54	3191	54827
55	3248	54765
56	3318	54897
57	3373	54789
58	3422	54578
59	3470	54370
60	3525	54263
61	3570	54019
62	3621	53865
63	3667	53643
64	3716	53457
65	3764	53277
66	3811	53077
67	3854	52826
68	3910	52758
69	3954	52531
70	4001	52362
71	4052	52230
72	4105	52129
73	4161	52072
74	4209	51914
75	4255	51732
76	4298	51531
77	4349	51411
78	4400	51307
79	4461	51308
80	4516	51240
81	4563	51088
82	4604	50872
83	4653	50742
84	4710	50706
85	4761	50603
86	4815	50536
87	4868	50456
88	4921	50378
89	4974	50296
90	5024	50187
91	5075	50092
92	5122	49958
93	5166	49799
94	5217	49707
95	5268	49614
96	5326	49589
97	5391	49624
98	5446	49571
99	5497	49474
100	5551	49410
101	5600	49306
102	5642	49142
103	5696	49074
104	5754	49047
105	5815	49051
106	5873	49016
107	5913	48837
108	5969	48795
109	6013	48658
110	6065	48575
111	6116	48496
112	6168	48420
113	6218	48333
114	6263	48199
115	6325	48205
116	6395	48267
117	6454	48241
118	6517	48248
119	6566	48157
120	6609	48015
121	6672	48022
122	6711	47856
123	6766	47804
124	6822	47754
125	6872	47669
126	6930	47640
127	6976	47527
128	7034	47494
129	7130	47721
130	7184	47659
131	7242	47625
132	7305	47625
133	7466	48255
134	7556	48418
