,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale_CatBoostClassifier_0,0.88,0.8462666666666666,0.88,0.8605199123127513,0.723314027281404,0.8768226059654631,0.6089426290376956,0.788487516140403,0.9152542372881356
Balance Scale_CatBoostClassifier_1,0.904,0.8312609940150923,0.904,0.8660282645562464,0.7375161074442275,0.8968654828795674,0.5953145294259822,0.8334449668692733,0.9830508474576272
Balance Scale_CatBoostClassifier_2,0.896,0.8586473482777474,0.896,0.8732696534725242,0.7381693935921038,0.8924705436820969,0.6327260959991443,0.8169224747673604,0.9485362095531586
Car Evaluation_CatBoostClassifier_0,0.9739884393063584,0.9807080924855491,0.9739884393063584,0.9756278558502895,0.9789735458934857,0.9745955093744201,0.9331660403210184,0.9469181799530857,0.9090909090909091
Car Evaluation_CatBoostClassifier_1,0.9682080924855492,0.9762692711818405,0.9682080924855492,0.9695704700655854,0.9859596474386165,0.9689354217742135,0.9261111679968991,0.9348595189566126,1.0
Car Evaluation_CatBoostClassifier_2,0.976878612716763,0.9841796063319355,0.976878612716763,0.9789518512170928,0.9822544603878766,0.9775378602427138,0.9402727098177843,0.9527592212373193,0.9090909090909091
Contraceptive_CatBoostClassifier_0,0.5491525423728814,0.5472727636345455,0.5491525423728814,0.543967839620525,0.5649971876349907,0.5489811199528699,0.2894131146619101,0.29771154018173596,0.18264908600539406
Contraceptive_CatBoostClassifier_1,0.5796610169491525,0.5983511023944035,0.5796610169491525,0.5758644835160619,0.606019243563744,0.5813117300294371,0.35286630130886065,0.35534704432431236,0.23973629008091096
Contraceptive_CatBoostClassifier_2,0.5830508474576271,0.5853240692002667,0.5830508474576271,0.5803512671316196,0.607488660360162,0.5832567740933893,0.3467177860292346,0.35444784441022836,0.23464189391669163
Dermatology_CatBoostClassifier_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dermatology_CatBoostClassifier_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dermatology_CatBoostClassifier_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Glass_CatBoostClassifier_0,0.9069767441860465,0.9143410852713177,0.9069767441860465,0.9077804568198905,0.9700878406374391,0.9076413241374361,0.8834316513408406,0.8829851624965809,0.5892857142857143
Glass_CatBoostClassifier_1,0.8372093023255814,0.829201805945992,0.8372093023255814,0.8272818998400393,0.9091431901368674,0.8364749630226309,0.7782626329906158,0.7917306377204305,0.13095238095238093
Glass_CatBoostClassifier_2,0.8837209302325582,0.8820810971973764,0.8837209302325582,0.8820731752986555,0.9627711529974707,0.8835716025998727,0.8485700072585678,0.8509757557127975,0.39285714285714285
Hayes_CatBoostClassifier_0,0.71875,0.7678571428571428,0.71875,0.7166666666666666,0.9122917482843954,0.7229532163742691,0.5853743835871965,0.5614443050069801,0.45
Hayes_CatBoostClassifier_1,0.71875,0.7678571428571428,0.71875,0.7166666666666666,0.9468302164507176,0.7229532163742691,0.5853743835871965,0.5614443050069801,0.45
Hayes_CatBoostClassifier_2,0.71875,0.7678571428571428,0.71875,0.7166666666666666,0.9296356599081982,0.7229532163742691,0.5853743835871965,0.5614443050069801,0.45
Heart_CatBoostClassifier_0,0.47540983606557374,0.38114754098360654,0.47540983606557374,0.42305890830480997,0.35468700729014013,0.46495627370466724,0.18151598747487493,0.2058806080326021,0.0
Heart_CatBoostClassifier_1,0.4918032786885246,0.4223783502472027,0.4918032786885246,0.45242974238875877,0.3657461788182771,0.4845627359915761,0.21843570000450377,0.23590286652413406,0.0
Heart_CatBoostClassifier_2,0.4918032786885246,0.4256947488384325,0.4918032786885246,0.456099860008777,0.3607947641176492,0.48495676403145094,0.21673128918435144,0.23722486561254838,0.0
New Thyroid_CatBoostClassifier_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Thyroid_CatBoostClassifier_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Thyroid_CatBoostClassifier_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Page_CatBoostClassifier_0,0.9753424657534246,0.9767935716245589,0.9753424657534246,0.9756811556988354,0.8872570758797547,0.9754742062849872,0.8588435921949182,0.8778365638867953,0.623546146765961
Page_CatBoostClassifier_1,0.9780821917808219,0.9781439115085201,0.9780821917808219,0.977742926995946,0.8747473477610026,0.9780878023433017,0.8633894960794833,0.8879862093560604,0.5196217889716341
Page_CatBoostClassifier_2,0.9780821917808219,0.9792878842505848,0.9780821917808219,0.9784427031535721,0.8843726077438374,0.9781916774924204,0.8730211895196405,0.8909547120872724,0.6755083256631244
