,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale_DecisionTreeClassifier_0,0.768,0.7014098360655737,0.768,0.7325579831932774,0.5958436252925091,0.7614283475315352,0.41849492977085206,0.5823256376490445,0.710015408320493
Balance Scale_RandomForestClassifier_1,0.816,0.8002116402116402,0.816,0.8054957252137395,0.6787373926584696,0.8145389961983026,0.4981329000030914,0.6803211331649506,0.8012326656394453
Balance Scale_LogisticRegression_2,0.84,0.7897721250662427,0.84,0.8042847075405214,0.7764030783196567,0.8351713480283937,0.5271018499198665,0.7336335816273546,0.847457627118644
Car Evaluation_DecisionTreeClassifier_0,0.8179190751445087,0.7691379356413156,0.8179190751445087,0.7903002622562996,0.7136744013445313,0.8132302015754518,0.44362381295256753,0.6116095648967662,0.0
Car Evaluation_RandomForestClassifier_1,0.9566473988439307,0.9610279402684659,0.9566473988439307,0.9578298388470284,0.9368984775074816,0.9570439790074938,0.8968212272889483,0.9098886812686356,0.7188531118443509
Car Evaluation_LogisticRegression_2,0.9161849710982659,0.9167412188230278,0.9161849710982659,0.9163492557430511,0.8441249985377144,0.9162355111781186,0.8120808401482517,0.8237210124327842,0.4669473205142791
Contraceptive_DecisionTreeClassifier_0,0.5186440677966102,0.6590968974610812,0.5186440677966102,0.4969064957808285,0.6037538810152404,0.5288900581868353,0.34146591340590865,0.34404154121938463,0.24767755468984115
Contraceptive_RandomForestClassifier_1,0.5525423728813559,0.5474548746238628,0.5525423728813559,0.5475101260321599,0.5612665536770047,0.5520759690550876,0.2936128575295682,0.29956853920202536,0.18309859154929578
Contraceptive_LogisticRegression_2,0.5457627118644067,0.5506608960501521,0.5457627118644067,0.5359769747361688,0.5507794687232707,0.5462043976082994,0.284277012638618,0.2876406111019183,0.15582858855259216
Dermatology_DecisionTreeClassifier_0,0.8108108108108109,0.7663928132678133,0.8108108108108109,0.7719472140100323,0.8081761941136941,0.8065611704569802,0.7293081834607943,0.7685415285705475,0.0
Dermatology_RandomForestClassifier_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dermatology_LogisticRegression_2,0.9864864864864865,0.9878378378378377,0.9864864864864865,0.9863916548127075,0.9916533119658121,0.9866091838106764,0.9806527744572783,0.9821517066674357,0.875
Glass_DecisionTreeClassifier_0,0.7441860465116279,0.6529069767441861,0.7441860465116279,0.6907838070628768,0.7053812743585869,0.7348465413715539,0.6500803381519208,0.6717526365844708,0.0
Glass_RandomForestClassifier_1,0.8372093023255814,0.8568475452196384,0.8372093023255814,0.8296046862394332,0.9816311793210089,0.8389573217480196,0.8018306278685267,0.7955902010910292,0.23809523809523808
Glass_LogisticRegression_2,0.7209302325581395,0.6393512851897185,0.7209302325581395,0.6643788746923226,0.7477723674424798,0.7126635658914728,0.6016927359614929,0.6351817216346891,0.0
Hayes_DecisionTreeClassifier_0,0.5,0.3076923076923077,0.5,0.3611111111111111,0.8333333333333334,0.4731182795698925,0.441291712605216,0.4864272707980575,1.0
Hayes_RandomForestClassifier_1,0.84375,0.8653846153846154,0.84375,0.8458583208395802,0.928346213719855,0.8456719817767654,0.7925688455922675,0.7645059372825134,0.9
Hayes_LogisticRegression_2,0.40625,0.4732142857142857,0.40625,0.425,0.574052519652803,0.4115443092962642,0.09761780032824496,0.03917053290746373,0.09999999999999999
Heart_DecisionTreeClassifier_0,0.5409836065573771,0.43240115718418515,0.5409836065573771,0.47774115951550855,0.35829523226046034,0.5289093242782174,0.29902892317399205,0.33866999488094535,0.0
Heart_RandomForestClassifier_1,0.5573770491803278,0.4780344427885411,0.5573770491803278,0.5104780465436204,0.38829123787954545,0.5490919132819968,0.3116624298922078,0.3289184395258198,0.0
Heart_LogisticRegression_2,0.5573770491803278,0.49060629716367427,0.5573770491803278,0.5183401639344262,0.3834159527640356,0.5505651349671599,0.32336638581540456,0.33777001343228286,0.0
New Thyroid_DecisionTreeClassifier_0,0.9767441860465116,0.9775461106655975,0.9767441860465116,0.9760537300316982,0.9752052545155993,0.976817033912416,0.9541707420154828,0.9551059868121952,0.8571428571428571
