,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale_DecisionTreeClassifier_0,0.56,0.5144088050314465,0.56,0.5315219347581552,0.5686248429288084,0.5555240751970892,0.14425413690869024,0.20067814317562901,0.3725731895223421
Balance Scale_RandomForestClassifier_1,0.808,0.8079438339438338,0.808,0.8045173308902122,0.6717658904817053,0.8079948936722091,0.4953878314386468,0.6702745220608739,0.7852080123266564
Balance Scale_LogisticRegression_2,0.84,0.7897721250662427,0.84,0.8042847075405214,0.7764030783196567,0.8351713480283937,0.5271018499198665,0.7336335816273546,0.847457627118644
Car Evaluation_DecisionTreeClassifier_0,0.6791907514450867,0.4613000768485415,0.6791907514450867,0.5494314168316536,0.6612120614889346,0.651227037272088,0.0,0.0,0.0
Car Evaluation_RandomForestClassifier_1,0.9624277456647399,0.9644090820889424,0.9624277456647399,0.9628913030040982,0.9292616951835506,0.9626075306843185,0.8941211351224977,0.9214050218800145,0.6256684491978609
Car Evaluation_LogisticRegression_2,0.9161849710982659,0.9167412188230278,0.9161849710982659,0.9163492557430511,0.8441249985377144,0.9162355111781186,0.8120808401482517,0.8237210124327842,0.4669473205142791
Contraceptive_DecisionTreeClassifier_0,0.4406779661016949,0.19419706980752657,0.4406779661016949,0.2695912263210369,0.6921322511790958,0.3950905902980713,0.0,0.0,0.0
Contraceptive_RandomForestClassifier_1,0.5491525423728814,0.5425553852317662,0.5491525423728814,0.5440356767991571,0.5588731165445454,0.5485461785824035,0.28682652583281293,0.2950093582956683,0.1798022175606832
Contraceptive_LogisticRegression_2,0.5457627118644067,0.5506608960501521,0.5457627118644067,0.5359769747361688,0.5507794687232707,0.5462043976082994,0.284277012638618,0.2876406111019183,0.15582858855259216
Dermatology_DecisionTreeClassifier_0,0.5945945945945946,0.4602035070785071,0.5945945945945946,0.49531609531609533,0.6568552927927928,0.5792176639021673,0.3533528647703035,0.5180130666679624,0.0
Dermatology_RandomForestClassifier_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dermatology_LogisticRegression_2,0.9864864864864865,0.9878378378378377,0.9864864864864865,0.9863916548127075,0.9916533119658121,0.9866091838106764,0.9806527744572783,0.9821517066674357,0.875
