,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale_XGBClassifier_0,0.88,0.8484120133481647,0.88,0.86091452991453,0.72178550743517,0.8770314959806821,0.6098841013864569,0.7897838829524704,0.9152542372881356
Balance Scale_XGBClassifier_1,0.864,0.8406863711001641,0.864,0.85103530286139,0.7256022917937853,0.8618272816862191,0.5869243100382721,0.7612277520238687,0.8819722650231124
Balance Scale_XGBClassifier_2,0.84,0.7946666666666666,0.84,0.8053352152434722,0.7709475809753307,0.8356661608497722,0.5291074678774971,0.7364643834572446,0.847457627118644
Car Evaluation_XGBClassifier_0,0.9653179190751445,0.972983183605627,0.9653179190751445,0.9666530009351757,0.9556769520979778,0.9660097670038914,0.9165400970884141,0.9285467241050728,0.9411764705882353
Car Evaluation_XGBClassifier_1,0.9797687861271677,0.9857428154550032,0.9797687861271677,0.9812320319907025,0.9855744644922707,0.9803088858868069,0.9454836490956913,0.9583498700696028,0.8823529411764706
Car Evaluation_XGBClassifier_2,0.9364161849710982,0.9387342250560096,0.9364161849710982,0.936551569424724,0.9341054875689316,0.9366264427242682,0.8726652737554049,0.8670805572294097,0.8337694845830014
Contraceptive_XGBClassifier_0,0.6033898305084746,0.6234509828241063,0.6033898305084746,0.6079412865880934,0.6215721974958078,0.6051600663849319,0.3941859124802877,0.39581667443542695,0.3094096493856757
Contraceptive_XGBClassifier_1,0.559322033898305,0.5636780527712913,0.559322033898305,0.5587754806398874,0.5762781071031297,0.559715251620496,0.31270521843874316,0.32007727256274615,0.22250524423134552
Contraceptive_XGBClassifier_2,0.5491525423728814,0.5609788851197037,0.5491525423728814,0.5409711161131339,0.5547201740225458,0.5502070200454845,0.2948322093151842,0.29424167681183905,0.16676655678753372
Dermatology_XGBClassifier_0,0.9864864864864865,0.9878378378378377,0.9864864864864865,0.9863916548127075,1.0,0.9866091838106764,0.9806527744572783,0.9821517066674357,0.875
Dermatology_XGBClassifier_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dermatology_XGBClassifier_2,0.9864864864864865,0.9878378378378377,0.9864864864864865,0.9863916548127075,0.9956018518518519,0.9866091838106764,0.9806527744572783,0.9821517066674357,0.875
Glass_XGBClassifier_0,0.8372093023255814,0.8359173126614987,0.8372093023255814,0.8321010102726633,0.885612140193612,0.8370916837104753,0.7897278304721145,0.7894749902942138,0.26190476190476186
Glass_XGBClassifier_1,0.8604651162790697,0.8588749751540449,0.8604651162790697,0.8536248090967653,0.89615333106397,0.8603203147281278,0.8172891689821351,0.8212870084375032,0.26190476190476186
Glass_XGBClassifier_2,0.7441860465116279,0.7048551611587107,0.7441860465116279,0.7174066243833684,0.6814316646300712,0.7404300499208571,0.6663980756219047,0.6686131747414907,0.0
Hayes_XGBClassifier_0,0.8125,0.8324175824175823,0.8125,0.8150197628458498,0.9562504185593389,0.8142712170187176,0.7345135007765919,0.7077417994282861,0.75
Hayes_XGBClassifier_1,0.78125,0.8114697802197802,0.78125,0.7841398902821316,0.948461355770276,0.7839039278131635,0.6990091908651851,0.6666674985686087,0.75
Hayes_XGBClassifier_2,0.4375,0.5108173076923077,0.4375,0.4553492484526967,0.5751605782608616,0.4432840268747291,0.15029962613742728,0.1015329827099921,0.13333333333333333
Heart_XGBClassifier_0,0.5081967213114754,0.4416861826697892,0.5081967213114754,0.47121833084947834,0.3301857997888676,0.501333769868182,0.2438671469722613,0.25840118348324287,0.0
Heart_XGBClassifier_1,0.47540983606557374,0.4074011571841851,0.47540983606557374,0.4387635756056809,0.3221261261469528,0.46830299939798337,0.20143734930290683,0.21831721595091275,0.0
Heart_XGBClassifier_2,0.5409836065573771,0.501509098423274,0.5409836065573771,0.5128120848569512,0.39708011665328236,0.5371400545264406,0.3060055116924759,0.3206550598796299,0.0
New Thyroid_XGBClassifier_0,0.9767441860465116,0.9775461106655975,0.9767441860465116,0.9760537300316982,0.9995821604503871,0.976817033912416,0.9541707420154828,0.9551059868121952,0.8571428571428571
New Thyroid_XGBClassifier_1,0.9767441860465116,0.9775461106655975,0.9767441860465116,0.9760537300316982,0.999582160450387,0.976817033912416,0.9541707420154828,0.9551059868121952,0.8571428571428571
New Thyroid_XGBClassifier_2,0.9767441860465116,0.9775461106655975,0.9767441860465116,0.9760537300316982,1.0,0.976817033912416,0.9541707420154828,0.9551059868121952,0.8571428571428571
Page_XGBClassifier_0,0.9726027397260274,0.972503323851168,0.9726027397260274,0.9723929479945476,0.8020783170233212,0.9725937010793154,0.8380198006831712,0.8604321930316605,0.3755334281650071
Page_XGBClassifier_1,0.9689497716894977,0.9694396999317063,0.9689497716894977,0.9690014587423202,0.8264624383083868,0.9689942901571633,0.8210262808889102,0.8438303950140889,0.3700108777508158
Page_XGBClassifier_2,0.9698630136986301,0.9690960552374919,0.9698630136986301,0.9691216361966486,0.8684646401284123,0.9697932400418493,0.8272384182676401,0.8424235394580278,0.32131202409840176
Pen Based_XGBClassifier_0,0.9918144611186903,0.9918878035875577,0.9918144611186903,0.9918189362199371,0.9995114916287212,0.991821128167666,0.9909529340473799,0.9909093001773023,0.9251699179094386
Pen Based_XGBClassifier_1,0.9909049567985448,0.9909804734427751,0.9909049567985448,0.9908990333117744,0.9992467434914468,0.9909118214724246,0.9899367006006451,0.9899007807317576,0.9160433631489218
Pen Based_XGBClassifier_2,0.9381537062301046,0.9382821441372717,0.9381537062301046,0.9381255467742226,0.9713799527165886,0.9381653809504585,0.9313657746497013,0.9312777178857977,0.5677215200038259
Shuttle_XGBClassifier_0,0.9986206896551724,0.9984500689747229,0.9986206896551724,0.9984283070299576,0.7065668035525873,0.9986051762746229,0.9021898984422385,0.9961324939669839,0.0
Shuttle_XGBClassifier_1,0.998448275862069,0.9982238195254394,0.998448275862069,0.9983050146050287,0.7036061349494257,0.9984278665695441,0.8981341900503177,0.9956492511089878,0.0
Shuttle_XGBClassifier_2,0.9301724137931034,0.9258753960978334,0.9301724137931034,0.9225573938022285,0.4302545220176128,0.9297801283672693,0.5931184268881515,0.7954838067994239,0.0
Vertebra_XGBClassifier_0,0.8387096774193549,0.8354033695589673,0.8387096774193549,0.8367600141793691,0.8118793697427541,0.8384080229200923,0.6979571044198053,0.7351456522361397,0.7222222222222222
Vertebra_XGBClassifier_1,0.8387096774193549,0.8354033695589673,0.8387096774193549,0.8367600141793691,0.8196262966727131,0.8384080229200923,0.6979571044198053,0.7351456522361397,0.7222222222222222
Vertebra_XGBClassifier_2,0.8064516129032258,0.8021965384394226,0.8064516129032258,0.8040411201701524,0.807077468326515,0.806062923553209,0.6369618896198991,0.6820850812947652,0.6666666666666666
Wine_XGBClassifier_0,0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9448559670781892,1.0,0.9450715655894938,0.9178235294165921,0.9170212920385968,0.875
Wine_XGBClassifier_1,0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9448559670781892,1.0,0.9450715655894938,0.9178235294165921,0.9170212920385968,0.875
Wine_XGBClassifier_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast_XGBClassifier_0,0.5858585858585859,0.5793454597300016,0.5858585858585859,0.5811958497214333,0.5812197216059891,0.5852604382596743,0.5036715641634258,0.4600959872502184,0.0
Yeast_XGBClassifier_1,0.5589225589225589,0.5528593698890316,0.5589225589225589,0.5548142134755727,0.5874412273215801,0.5583658699567593,0.47707325918375865,0.42520569221218046,0.0
Yeast_XGBClassifier_2,0.6094276094276094,0.605447346290561,0.6094276094276094,0.6042662838495922,0.6018636135731059,0.6090636060874974,0.5320208682615187,0.4835798618985214,0.0
FARS_XGBClassifier_0,0.8051401406358324,0.799950287344901,0.8051401406358324,0.7854467971483695,0.5964995847883584,0.8046655547608736,0.6633823993076994,0.7371750735428694,0.007917628119320662
FARS_XGBClassifier_1,0.8051896602951372,0.794718943359824,0.8051896602951372,0.791165407364248,0.5941249459549134,0.80422638928942,0.6654225784771539,0.7361922586825324,0.014919546928743572
FARS_XGBClassifier_2,0.7004555808656037,0.6875370285677653,0.7004555808656037,0.6763291924800354,0.444152972730233,0.6992611405216556,0.5293000595107501,0.5911616786578041,0.0008961280103812605
