,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.944,0.9657777777777778,0.944,0.9494362091562345,0.6973556209522354,0.9459391297057098,0.8828864124378858,0.9108535363988558,0.8819722650231125
Car Evaluation,0.8323699421965318,0.8334815306846043,0.8323699421965318,0.8215143883065729,0.685981620661428,0.8324708731606638,0.6679447460742246,0.6438774429267563,0.6912049152349528
Contraceptive,0.5898305084745763,0.5961476419488745,0.5898305084745763,0.5859841571630623,0.5023579674444586,0.590399255762746,0.35860230415068783,0.3652528572005882,0.23374288282888825
Dermatology,0.7162162162162162,0.6192480195712955,0.7162162162162162,0.6455553297658561,0.6435282998869418,0.7061636403388892,0.578995820147724,0.6661419179912852,0.0
Glass,0.4883720930232558,0.48119015047879615,0.4883720930232558,0.42529203729503806,0.5832363144971188,0.4877103422197013,0.3413555450185649,0.32614374491549053,0.0
Hayes,0.5,0.3076923076923077,0.5,0.3611111111111111,0.8333333333333334,0.4731182795698925,0.441291712605216,0.4864272707980575,1.0
Heart,0.5245901639344263,0.44664324746291956,0.5245901639344263,0.4742429764273711,0.3229129872344986,0.5163974169462582,0.2605050816232912,0.2869653045912048,0.0
New Thyroid,0.7209302325581395,0.6186046511627906,0.7209302325581395,0.6339261285909713,0.6537037037037037,0.7102497846683892,0.33174158069517096,0.4016771562027471,0.0
Page,0.7388127853881279,0.9159919455832078,0.7388127853881279,0.7940218538720002,0.6763913690830331,0.7520369261837901,0.5177632558466715,0.42137308741103224,0.0
Pen Based,0.2837653478854025,0.24357786752519808,0.2837653478854025,0.17014109596971774,0.1993401393306498,0.2795720661263908,0.21205513081012575,0.25698809095773756,0.0
Shuttle,0.8678448275862068,0.8149732875997461,0.8678448275862068,0.8405439532709973,0.2858714256922728,0.8627565107441426,0.3087445172408119,0.5983852297407702,0.0
Vertebra,0.7258064516129032,0.765704584040747,0.7258064516129032,0.7399194867756924,0.7570147579361727,0.7292609228256431,0.5511614237500233,0.5742808831083567,0.46875
Wine,0.9166666666666666,0.9313725490196079,0.9166666666666666,0.9176362466685047,0.9600269439555155,0.9179843475483149,0.8829649303154182,0.8779803077799757,0.875
Yeast,0.3939393939393939,0.3587297692560851,0.3939393939393939,0.36152560639187875,0.38335991346182346,0.3904554370920088,0.28686764329038955,0.23609635051531286,0.0
FARS,0.6171139942557196,0.4853252962992653,0.6171139942557196,0.5192710309758628,0.5054798092742782,0.6022468655184223,0.29788806142907365,0.5440472385105262,0.0
