,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.816,0.787065527065527,0.816,0.7980117994100294,0.6975143948388008,0.8132819768738503,0.4926655166951282,0.6793471935533308,0.8003081664098614
Car Evaluation,0.9653179190751445,0.9756426832978399,0.9653179190751445,0.9683799495665567,0.9605140728014786,0.9662474953843069,0.9141741932180393,0.9289904340443322,0.7486631016042781
Contraceptive,0.535593220338983,0.5393676279255715,0.535593220338983,0.533687758728423,0.5743988368878202,0.5359341640444953,0.2735167645121421,0.2801024433120473,0.1833982619118969
Dermatology,0.9864864864864865,0.9878378378378377,0.9864864864864865,0.9863916548127075,1.0,0.9866091838106764,0.9806527744572783,0.9821517066674357,0.875
Glass,0.8372093023255814,0.8568475452196384,0.8372093023255814,0.8296046862394332,0.9828949408576032,0.8389573217480196,0.8018306278685267,0.7955902010910292,0.23809523809523808
Hayes,0.78125,0.8295454545454546,0.78125,0.7828703703703703,0.9515774104672131,0.7854068857589983,0.7249309940448087,0.6876192990929173,0.9
Heart,0.4918032786885246,0.3793715846994536,0.4918032786885246,0.42506122755213044,0.3751611966601103,0.4789006934682295,0.19155846534396376,0.20453277914004067,0.0
New Thyroid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Page,0.9698630136986301,0.9699110451484256,0.9698630136986301,0.9697649106418377,0.7760243068977422,0.9698673799974876,0.8215654951724758,0.84591370813841,0.3442389758179231
Pen Based,0.9940882219190541,0.994113863501766,0.9940882219190541,0.994087799872625,0.9995653727414775,0.994090552917368,0.9934415179550053,0.9934320993747693,0.9461875412333263
Shuttle,0.1118103448275862,0.8966352191125171,0.1118103448275862,0.18299026850216224,0.3324261654255186,0.12147656742225091,0.1065084524701832,0.10360781683510531,0.0
Vertebra,0.8387096774193549,0.8327468230694037,0.8387096774193549,0.8327095654769678,0.8038229069426853,0.8381640733847747,0.6948261970856625,0.7350807207718163,0.7777777777777778
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5723905723905723,0.5640471670922251,0.5723905723905723,0.5658638923596189,0.5253669085572299,0.5716218950326367,0.4563925358338875,0.44364976108781523,0.0
FARS,0.3324749925720511,0.4102665198418865,0.3324749925720511,0.3446890445103364,0.23186545387836646,0.33830654159585516,0.1197354014246966,0.14608115993216872,9.136860585714024e-07
