,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.912,0.9146724191063175,0.912,0.912280701754386,0.7164168058585902,0.9122423017252154,0.7931518154265443,0.8489664369859969,0.8819722650231124
Car Evaluation,0.846820809248555,0.8483321315233637,0.846820809248555,0.8440342437813537,0.703940972339111,0.8469579796297468,0.688469249997728,0.6768539672288999,0.4973034474911822
Contraceptive,0.4440677966101695,0.5232605920509333,0.4440677966101695,0.45483025994075704,0.44357669292109153,0.45026279247063694,0.19930041226129594,0.2033055274048482,0.17395864548996104
Dermatology,0.8918918918918919,0.834658187599364,0.8918918918918919,0.8544698544698545,0.9914609053497943,0.886366490393336,0.8540844647536029,0.8687960755954013,0.0
Glass,0.7906976744186046,0.8095607235142118,0.7906976744186046,0.7831867630773242,0.851718161150747,0.7923760963503451,0.729672541788398,0.7295278004647205,0.14285714285714285
Hayes,0.6875,0.4951923076923077,0.6875,0.5684523809523809,0.8333333333333334,0.6640558397271953,0.4934614871384205,0.5674984825977337,0.0
Heart,0.5245901639344263,0.4934286114613983,0.5245901639344263,0.5066676169065721,0.35279164196664714,0.5215955835325008,0.29041972315609527,0.3126590088705985,0.0
New Thyroid,0.9534883720930233,0.9560723514211887,0.9534883720930233,0.9532779122382405,0.9759672537712981,0.9537227019952333,0.9133617017264181,0.9105283335830304,0.8571428571428571
Page,0.8876712328767123,0.9532053042392749,0.8876712328767123,0.910667265030233,0.678908322307803,0.8932541742660449,0.6464395590537826,0.6513543379364041,0.47297297297297297
Pen Based,0.29376989540700316,0.28490054135534276,0.29376989540700316,0.2159291728886221,0.252146589672884,0.2929408354342284,0.227481375746529,0.2462863319442523,0.0
Shuttle,0.7674137931034483,0.9053199944444278,0.7674137931034483,0.8165627683723855,0.33340330447380145,0.7781902194951041,0.4749193407444809,0.5639714176267215,0.0
Vertebra,0.8548387096774194,0.8494623655913979,0.8548387096774194,0.8518070989319236,0.8559501026362111,0.8543471405516704,0.7251947535822887,0.7610776470580579,0.7777777777777778
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5084175084175084,0.5728917667035909,0.5084175084175084,0.5320884879510855,0.5841783460556301,0.5136729325422019,0.41349639442261094,0.38971380293109326,0.0
FARS,0.6306328612459147,0.7046287510685042,0.6306328612459147,0.63630567480914,0.415805381084289,0.6367113715675633,0.44669869068094176,0.5277481667339657,0.002579026336471809
