,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.84,0.8297455870177182,0.84,0.8331847549909256,0.7153197439584301,0.8390573189050106,0.5581867901052139,0.7222303721527628,0.8329738058551618
Car Evaluation,0.9797687861271677,0.9876364804110469,0.9797687861271677,0.9817651431673191,0.9436887951457652,0.9804788475144989,0.9451528552033875,0.9588655401236588,1.0
Contraceptive,0.5864406779661017,0.5880738449349753,0.5864406779661017,0.5849389116301741,0.5824822783773239,0.5865887727576025,0.3537591302957423,0.3582499621975143,0.24722804914593946
Dermatology,0.9864864864864865,0.9878378378378377,0.9864864864864865,0.9863916548127075,1.0,0.9866091838106764,0.9806527744572783,0.9821517066674357,0.875
Glass,0.8372093023255814,0.8400914331146889,0.8372093023255814,0.8349310828701776,0.9114035736230637,0.8374704967848563,0.7865553445972512,0.7909121850994463,0.26190476190476186
Hayes,0.8125,0.8324175824175823,0.8125,0.8150197628458498,0.9524692922782126,0.8142712170187176,0.7345135007765919,0.7077417994282861,0.75
Heart,0.47540983606557374,0.4074011571841851,0.47540983606557374,0.4387635756056809,0.329632476644913,0.46830299939798337,0.20143734930290683,0.21831721595091275,0.0
New Thyroid,0.9767441860465116,0.9775461106655975,0.9767441860465116,0.9760537300316982,0.9995821604503871,0.976817033912416,0.9541707420154828,0.9551059868121952,0.8571428571428571
Page,0.971689497716895,0.9724369770689225,0.971689497716895,0.9718772252117367,0.8322993272301531,0.9717574028974758,0.8359017394715476,0.8582747013732908,0.4096728307254623
Pen Based,0.990450204638472,0.9905129800666062,0.990450204638472,0.9904495320303897,0.9993038728890022,0.9904559111667717,0.9894215900550989,0.9893925799916734,0.9117057787051926
Shuttle,0.998448275862069,0.9982237357271658,0.998448275862069,0.9983050030709119,0.7064188157592655,0.9984278589484037,0.8981384091053286,0.9956488696719651,0.0
Vertebra,0.8225806451612904,0.8224490563200241,0.8225806451612904,0.8215092687198949,0.8436199783399733,0.8225686807994045,0.6717054172742621,0.70996084924632,0.6666666666666666
Wine,0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9448559670781892,1.0,0.9450715655894938,0.9178235294165921,0.9170212920385968,0.875
Yeast,0.5723905723905723,0.5673552017945611,0.5723905723905723,0.5685289641165748,0.5967392062388706,0.5719291210377999,0.4911900106634484,0.442320182575224,0.0
FARS,0.8071209270080222,0.7981445297751844,0.8071209270080222,0.7919120151313865,0.5971216747706709,0.8062965561299433,0.6683556232528923,0.7390545122100733,0.013902962535640597
