,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.672,0.8945700483091786,0.672,0.7381127441574888,0.6858348379938924,0.6875512300187256,0.5425018799051952,0.5686940155137565,0.43194192377495455
Car Evaluation,0.18208092485549132,0.7721211832483509,0.18208092485549132,0.12885722549125442,0.49041308487483176,0.19567463563513826,0.128729733405108,0.10817643006342724,0.02097902097902098
Contraceptive,0.5084745762711864,0.5505464200910039,0.5084745762711864,0.5091848107349201,0.47719481912057077,0.5120317230516622,0.2847931343292384,0.2870993768381941,0.24070822358794264
Dermatology,0.7972972972972973,0.7377149877149878,0.7972972972972973,0.7568455154662052,0.789478081978082,0.7914859178384878,0.7518538415788871,0.7647025930346281,0.0
Glass,0.46511627906976744,0.2642374879434144,0.46511627906976744,0.32902291506942666,0.5188054702167606,0.43504958181882347,0.32515419418028035,0.354159679683826,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.18032786885245902,0.2752657178886687,0.18032786885245902,0.14595704841606483,0.28647258007873366,0.186164905083971,-0.027106997963212566,-0.021682542751105358,0.0
New Thyroid,0.7906976744186046,0.8620762452916142,0.7906976744186046,0.8056772538562798,0.7786110410392514,0.7966944984213639,0.6834435880661239,0.6548671260744939,0.8571428571428571
Page,0.9059360730593607,0.834843847654268,0.9059360730593607,0.8678531938352199,0.6261979184590712,0.8989766603877275,0.28149898601590195,0.3413755495003552,0.0
Pen Based,0.27103228740336516,0.20453164935513982,0.27103228740336516,0.18047464945703792,0.1974205821805322,0.26325115349460876,0.2000898301529496,0.24129194815008634,0.0
Shuttle,0.5253448275862069,0.8713479249959176,0.5253448275862069,0.653060613351794,0.39624565549408874,0.5450195108605411,0.3173779822872125,0.29710513209344946,0.0
Vertebra,0.3064516129032258,0.5521821631878557,0.3064516129032258,0.2840680792994959,0.6136948229927357,0.3193721676390121,0.10638776501121494,0.060954892653739254,0.0
Wine,0.5,0.5025925925925926,0.5,0.4402902902902903,0.6678217660475725,0.5002345844504021,0.30425294173667533,0.2961501612911715,0.03571428571428571
Yeast,0.4107744107744108,0.22813992677690995,0.4107744107744108,0.28260476921661826,0.4111717221187131,0.3829078681553071,0.24122692453688555,0.28357665578384456,0.0
FARS,0.3953154402297712,0.5490222613202922,0.3953154402297712,0.27748208027449073,0.2539426667370056,0.4056395056073247,0.24084709925976822,0.33342931201373244,0.0
