,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.584,0.9179393939393939,0.584,0.6748112112606496,0.6790315468069462,0.6039746734866166,0.4986356474951195,0.5093252322362904,0.3097398669086509
Car Evaluation,0.2976878612716763,0.6167861869451465,0.2976878612716763,0.34283148080635223,0.4304963411049735,0.3123798367511509,0.120948420627697,0.0942486584829673,0.1859504132231405
Contraceptive,0.4915254237288136,0.5667003867240368,0.4915254237288136,0.49745717026817116,0.5372960060030332,0.497525298665547,0.27817734966303814,0.28137015902885393,0.22475856014047407
Dermatology,0.6216216216216216,0.5128115128115128,0.6216216216216216,0.5401115401115402,0.7031352212602212,0.6098578280374263,0.5699459569475361,0.603706133074021,0.0
Glass,0.27906976744186046,0.14534883720930233,0.27906976744186046,0.18708733127337776,0.42118145531416173,0.257530825659435,0.09452922286413915,0.08576978638065315,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,1.0
Heart,0.29508196721311475,0.4925073560319462,0.29508196721311475,0.32707283443034024,0.3729772358999679,0.3062419167209815,0.11445045746268542,0.10911172775920783,0.0030921459492888066
New Thyroid,0.7906976744186046,0.8620762452916142,0.7906976744186046,0.8056772538562798,0.757152795297715,0.7966944984213639,0.6834435880661239,0.6548671260744939,0.8571428571428571
Page,0.8054794520547945,0.9469571087721771,0.8054794520547945,0.859214503315564,0.7840152983341234,0.8165701367156207,0.510838686926955,0.4639102625603199,0.5101742058263797
Pen Based,0.7203274215552524,0.7199390523618958,0.7203274215552524,0.7060864028109135,0.71718059351403,0.7202920979513567,0.6904222761149861,0.6926608571619729,0.01634768578837917
Shuttle,0.5687068965517241,0.8200559212320059,0.5687068965517241,0.6615156098960827,0.32018828994806314,0.5850074537480225,0.2813497964064692,0.28557862815564017,0.0
Vertebra,0.7741935483870968,0.7661290322580645,0.7741935483870968,0.7651026392961877,0.6318189069945748,0.7734534015913155,0.5827019430685142,0.6378879538497859,0.725
Wine,0.9166666666666666,0.9188034188034189,0.9166666666666666,0.9167901234567901,0.9897800466340382,0.9168605060971312,0.8805582026285479,0.8751464534275023,0.8571428571428571
Yeast,0.26936026936026936,0.14638806804917298,0.26936026936026936,0.16929653665044456,0.37710309905798783,0.2502493515898286,0.2511616075191507,0.2298849551646079,0.0
FARS,0.11300386253342577,0.44721250771582743,0.11300386253342577,0.12780347651614293,0.2842484324916191,0.12124067948981303,0.05264193642180525,0.05968311607222556,0.0
