,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.584,0.6010442890442892,0.584,0.5307985347985348,0.6353407555004651,0.58550943225489,0.20818462573410065,0.2914340490989341,0.3206291591046582
Car Evaluation,0.5982658959537572,0.5699740066164977,0.5982658959537572,0.5712292352241787,0.5064966714735358,0.5955783671352095,0.19693100605586178,0.23024111250788382,0.0
Contraceptive,0.4440677966101695,0.29251051559127333,0.4440677966101695,0.35258284662216,0.5734092128812197,0.4240920610837719,0.1368140079913658,0.16461581224776947,0.0
Dermatology,0.35135135135135137,0.14266409266409266,0.35135135135135137,0.1942749200813717,0.6191173316173316,0.31011239252281597,0.1460588879237322,0.19066870634005242,0.0
Glass,0.3488372093023256,0.1325581395348837,0.3488372093023256,0.1913621262458472,0.581171557770395,0.30377906976744184,0.12275046406585562,0.1586939986039462,0.0
Hayes,0.46875,0.36354166666666665,0.46875,0.3393895348837209,0.7208333333333333,0.4567338197969544,0.2503527583529886,0.2792848008753788,0.0
Heart,0.4918032786885246,0.41653123233465233,0.4918032786885246,0.4274765307552193,0.5217865356096701,0.4838543587230738,0.20936344716716543,0.2703210655309566,0.0
New Thyroid,0.6744186046511628,0.6100178890876565,0.6744186046511628,0.6325581395348837,0.7063435272737598,0.6680074428430185,0.2536355335581109,0.31184285130916595,0.0
Page,0.9059360730593607,0.8311685638947843,0.9059360730593607,0.8664035744863013,0.6382408112925415,0.8985876934272533,0.2751045626147619,0.32184343088881096,0.0
Pen Based,0.18963165075034105,0.04736245345516535,0.18963165075034105,0.07290373219417999,0.5581817028886723,0.14895544850470932,0.09016782918538527,0.15084742892728686,0.0
Shuttle,0.8422413793103448,0.7108288473903478,0.8422413793103448,0.7705490342284321,0.6070397967791988,0.8283201596952494,0.3464191789260771,0.5009344992832515,0.0
Vertebra,0.6451612903225806,0.5521821631878557,0.6451612903225806,0.5681675291386565,0.8177946447396164,0.6354342431761786,0.46060728066245965,0.5763305151951422,0.0
Wine,0.6111111111111112,0.4125252525252525,0.6111111111111112,0.48076648076648076,0.8109066859066859,0.5854884955332813,0.4679961886636001,0.55673065564928,0.0
Yeast,0.3063973063973064,0.10848260848260848,0.3063973063973064,0.15984756867416777,0.5038679153634008,0.2628093889427451,0.05499538850877566,0.07742799735721478,0.0
FARS,0.05645241160740814,0.3711215544818532,0.05645241160740814,0.09784880568491895,0.5593789809099938,0.06116721985992451,0.05778278462278227,0.10118112156230462,0.0
