,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.704,0.8894851814851815,0.704,0.7700393614871691,0.6872970874737377,0.7176038737011781,0.5392270053779739,0.5884218749283001,0.5081669691470054
Car Evaluation,0.2745664739884393,0.735907572052682,0.2745664739884393,0.31788655125171394,0.6853888608330428,0.29115996833540586,0.15032311232337434,0.13137417767912943,0.2396694214876033
Contraceptive,0.47796610169491527,0.5028811278646781,0.47796610169491527,0.46890564691805214,0.541912082118324,0.48012862563759356,0.23363852794906023,0.2385594079503927,0.17881182323675737
Dermatology,0.9324324324324325,0.9361179361179363,0.9324324324324325,0.933808192428882,0.9615024420477852,0.9327662786309403,0.9129303133814298,0.915483664104085,0.6222222222222222
Glass,0.5348837209302325,0.7975083056478406,0.5348837209302325,0.5041208791208791,0.7500223759488569,0.5513906731611656,0.5210091096008928,0.5050836455985235,0.04444444444444444
Hayes,0.875,0.8818181818181818,0.875,0.8742559523809523,0.912454305488111,0.8756154747948418,0.8313615639291131,0.8080650264599865,0.9230769230769231
Heart,0.45901639344262296,0.6092253294760528,0.45901639344262296,0.4958998831872324,0.497700276235946,0.4695408211280034,0.3086213761283794,0.30238702135769735,0.01484230055658627
New Thyroid,0.813953488372093,0.8696013289036544,0.813953488372093,0.8259318540836289,0.9711220302605046,0.8187163603127856,0.7064670087534061,0.6822077764686858,0.8571428571428571
Page,0.817351598173516,0.953584533525771,0.817351598173516,0.8680183407836032,0.8229501956943437,0.8281067502439337,0.5403144816578498,0.5273377413232041,0.6719367588932806
Pen Based,0.988631195998181,0.9887916864599307,0.988631195998181,0.9886083227390651,0.9985056055160413,0.9886457838873036,0.9874531757832207,0.9873893111222778,0.896472967904983
Shuttle,0.7095689655172414,0.9737554988133961,0.7095689655172414,0.8159465660363981,0.5456151983156464,0.727512522611634,0.448575244099291,0.4990368114762811,0.0
Vertebra,0.7903225806451613,0.8024193548387096,0.7903225806451613,0.7910906298003073,0.7985043947730346,0.7914071953486999,0.6536150252356318,0.6730280039336755,0.5599999999999999
Wine,0.9444444444444444,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9943641345427059,0.9451604751074045,0.9242701736186122,0.9205607476635514,0.8571428571428571
Yeast,0.30303030303030304,0.5215752161852448,0.30303030303030304,0.33238362228997537,0.44652266521217426,0.3150303649425966,0.2645250048278189,0.24805302459057363,0.0009181413429159037
FARS,0.11656927800336733,0.5984253831534252,0.11656927800336733,0.1496808033836969,0.24207322848263824,0.12577616980638406,0.09458936638384545,0.09110107733878212,5.4322160429728414e-08
