,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.664,0.8380996086901639,0.664,0.729962009621584,0.6488369681318013,0.6767807838786881,0.4551529874777484,0.5147975836962133,0.4718693284936479
Car Evaluation,0.35260115606936415,0.746856845326658,0.35260115606936415,0.40967780078206956,0.5459743005403243,0.37037535337779576,0.20724148796806507,0.19127392413037178,0.3347107438016529
Contraceptive,0.488135593220339,0.5109305778160926,0.488135593220339,0.4796982906587728,0.536799185845151,0.49012347350167385,0.24630808760173198,0.25142041196495213,0.18568920105355577
Dermatology,0.972972972972973,0.9768339768339768,0.972972972972973,0.9725109725109725,0.9725228820075311,0.9733227116404687,0.9657109614682474,0.9669285958909575,0.8
Glass,0.4418604651162791,0.5843023255813954,0.4418604651162791,0.42101024230767187,0.7939210598628357,0.4518748789880172,0.41155417650018883,0.38947861903508296,0.08888888888888888
Hayes,0.875,0.8818181818181818,0.875,0.8742559523809523,0.90019241606866,0.8756154747948418,0.8313615639291131,0.8080650264599865,0.9230769230769231
Heart,0.39344262295081966,0.521090978813153,0.39344262295081966,0.40856356757996104,0.298202156830788,0.40240392664159463,0.22264145040256972,0.2373212645367558,0.0
New Thyroid,0.7209302325581395,0.8551797040169133,0.7209302325581395,0.7302781577747377,0.9704038752076721,0.731367776964761,0.6266846430037737,0.6156874583901604,1.0
Page,0.8155251141552512,0.9415486293925868,0.8155251141552512,0.8596976970467118,0.8204553851320829,0.8255705864502967,0.5225554885275517,0.5254995941444356,0.659493485580442
Pen Based,0.9899954524783993,0.9900657806009694,0.9899954524783993,0.9899959827705416,0.9983139572420928,0.9900018455312193,0.9889475835661227,0.988889683171099,0.9090313519103231
Shuttle,0.7539655172413793,0.982316146272028,0.7539655172413793,0.849924997987141,0.5613148404231713,0.7702429525464162,0.4841858743539631,0.5599273434331082,0.0
Vertebra,0.7903225806451613,0.7986717267552181,0.7903225806451613,0.7916787755497433,0.77581459128844,0.791074373825323,0.64175347884302,0.669992219924937,0.58
Wine,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966,1.0,0.9724160850780991,0.9609943054472779,0.9591605129565426,0.9285714285714286
Yeast,0.26262626262626265,0.4246746729450107,0.26262626262626265,0.27364804397641274,0.4369122565634352,0.27206397568333746,0.23468297586473683,0.20866470928112885,0.0007511543861730738
FARS,0.03535703674358721,0.5828483664790455,0.03535703674358721,0.06116191877789581,0.20479362441140572,0.03865822994571288,0.039638615578667366,0.03613471067176197,4.878187222744245e-13
