,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.712,0.8715699352911898,0.712,0.77052334667429,0.6826625433770644,0.7240510624781683,0.5241502982490431,0.584403456488822,0.530852994555354
Car Evaluation,0.2774566473988439,0.7654150067444865,0.2774566473988439,0.2981415491948318,0.5113428825045868,0.2945259872339759,0.18571405831444202,0.1741531963596515,0.18181818181818182
Contraceptive,0.48135593220338985,0.5136897001303782,0.48135593220338985,0.4742678150920429,0.5175966491013213,0.48412619747737207,0.2440916704740539,0.24750915302676496,0.19666374012291485
Dermatology,0.918918918918919,0.9203931203931204,0.918918918918919,0.9182895682146057,0.9117082048370589,0.9190527420624508,0.8950641617511167,0.8989280669096609,0.5599999999999999
Glass,0.4418604651162791,0.4871262458471761,0.4418604651162791,0.4143770278409201,0.6992016850986683,0.44562494774076505,0.34412559226868306,0.32252001578807726,0.029629629629629624
Hayes,0.875,0.8818181818181818,0.875,0.8742559523809523,0.9416402049433724,0.8756154747948418,0.8313615639291131,0.8080650264599865,0.9230769230769231
Heart,0.45901639344262296,0.5658469945355191,0.45901639344262296,0.48412835367106294,0.4201885133060288,0.4670322670395888,0.27347502830537457,0.2751817180773762,0.0
New Thyroid,0.7441860465116279,0.8666666666666667,0.7441860465116279,0.756275618069638,0.9929648189519961,0.7538714991762766,0.6569564189381059,0.6402339075302436,1.0
Page,0.6575342465753424,0.9308105469150071,0.6575342465753424,0.7421294116435149,0.7558180444870809,0.6755650535658057,0.3916969251981541,0.39246920403273894,0.6738032498902063
Pen Based,0.9872669395179627,0.9873617152838169,0.9872669395179627,0.9872723796541468,0.998164913973947,0.9872755547448173,0.9858951849712841,0.9858588728264507,0.8838799788800318
Shuttle,0.7678448275862069,0.9618584735405419,0.7678448275862069,0.8504691343717486,0.422571165801148,0.7821878098038871,0.4801122312816259,0.553581927828353,0.0
Vertebra,0.7741935483870968,0.795382669196711,0.7741935483870968,0.7772922294613062,0.7823258643480032,0.7760730674733326,0.6209376420285276,0.6509442334499388,0.5316666666666667
Wine,0.9444444444444444,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9924690388976103,0.9451604751074045,0.9242701736186122,0.9205607476635514,0.8571428571428571
Yeast,0.3265993265993266,0.49823420253924866,0.3265993265993266,0.37131022682154224,0.41335943794145635,0.3371580860932333,0.258717836125287,0.24293866158514163,0.00034112482202183195
FARS,0.1156284044765772,0.49952528381767164,0.1156284044765772,0.16862291116231665,0.17654658395237244,0.12431367449836764,0.08448838438982186,0.08423127001630942,0.0
