,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.368,0.9289887640449438,0.368,0.45284516046541357,0.7114853417818487,0.38937567477011276,0.3579489912877521,0.3519044417493321,0.09528130671506352
Car Evaluation,0.7803468208092486,0.8114209074766707,0.7803468208092486,0.7696437908213523,0.653723171831214,0.7830730462695367,0.44562613970554704,0.613728838828997,0.0
Contraceptive,0.5796610169491525,0.6152364390485499,0.5796610169491525,0.5878797682752486,0.5079855259671563,0.5827242385064803,0.37314830061652043,0.37529421318709005,0.3453321627158326
Dermatology,0.7432432432432432,0.7378807378807379,0.7432432432432432,0.7204504738080056,0.7573977038215856,0.7427525240809276,0.6991351303040862,0.7102904705649546,0.0
Glass,0.37209302325581395,0.16511627906976745,0.37209302325581395,0.22480620155038764,0.6054771133259506,0.33402833466987436,0.17723725681177338,0.2339773375952642,0.0
Hayes,0.5625,0.5540413533834586,0.5625,0.537890625,0.7272990167727009,0.5617203742203741,0.3966804021154007,0.3295571754044008,0.6923076923076923
Heart,0.39344262295081966,0.5676850471932439,0.39344262295081966,0.44387299546412373,0.3597495669083843,0.40473604739535507,0.21131293876508656,0.21800578353027705,0.0
New Thyroid,0.8604651162790697,0.9097414213693283,0.8604651162790697,0.8716871363930189,0.994845700894088,0.8647231053733611,0.7701945347669862,0.750328771382766,0.8571428571428571
Page,0.9141552511415525,0.8950723813724769,0.9141552511415525,0.8808110440166819,0.43878160823874807,0.9123868862694091,0.3719338803986672,0.3901890764118522,0.0
Pen Based,0.22828558435652568,0.12295078383225459,0.22828558435652568,0.13540815842153242,0.34957805686735477,0.21179050616734726,0.15399349982458424,0.2055207230715207,0.0
Shuttle,0.8217241379310345,0.9123209214161656,0.8217241379310345,0.8412404452372664,0.49606614200624327,0.829209915982325,0.5338262055007489,0.6708602868659226,0.0
Vertebra,0.7580645161290323,0.8110416932296316,0.7580645161290323,0.7553379843451249,0.7447533790860695,0.7625929259090153,0.6309077350376201,0.6561344741230871,0.37333333333333335
Wine,0.9166666666666666,0.927128427128427,0.9166666666666666,0.9144647944647945,0.9983560090702946,0.9176079695006081,0.8842913636855584,0.8821476250549224,0.7857142857142857
Yeast,0.41414141414141414,0.413460531238309,0.41414141414141414,0.33871642637502763,0.5042457743139619,0.41407942304247863,0.2060900877581967,0.2315607744301853,0.0
FARS,0.6150341685649203,0.48318781180506853,0.6150341685649203,0.5169818563750219,0.6148369792445136,0.6001468323749533,0.29740809862450973,0.5427503037433412,0.0
