,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.36,0.9288888888888889,0.36,0.44530298719772404,0.6460916563734383,0.38122524182404427,0.3526866114007324,0.34554151380379644,0.0925589836660617
Car Evaluation,0.7398843930635838,0.833241674662423,0.7398843930635838,0.7678684270940248,0.5344355193986158,0.7474980728312948,0.5613141265628429,0.5503801414552334,0.6608391608391608
Contraceptive,0.5864406779661017,0.6293699010701639,0.5864406779661017,0.5963174947878319,0.586537788663097,0.5900998249952195,0.38402133633656677,0.3862594795183807,0.3481123792800702
Dermatology,0.6756756756756757,0.6745836745836745,0.6756756756756757,0.6460852791942143,0.7143728809677085,0.675576256779126,0.6258095789648557,0.6524679107273141,0.0
Glass,0.37209302325581395,0.16511627906976745,0.37209302325581395,0.22480620155038764,0.4745238558826945,0.33402833466987436,0.17723725681177338,0.2339773375952642,0.0
Hayes,0.5625,0.5172101449275363,0.5625,0.4865451388888889,0.6694830722290677,0.5580575738429948,0.39554662480673836,0.37349813212498756,0.07692307692307693
Heart,0.4426229508196721,0.5487389659520806,0.4426229508196721,0.4847400631229473,0.2977280451184583,0.4505435720448662,0.1997394416963727,0.2054026486226099,0.0
New Thyroid,0.8604651162790697,0.9097414213693283,0.8604651162790697,0.8716871363930189,0.9980433273085603,0.8647231053733611,0.7701945347669862,0.750328771382766,0.8571428571428571
Page,0.9534246575342465,0.9539865714547955,0.9534246575342465,0.9520615916019753,0.7379174491184234,0.9534757132630282,0.7468345768743203,0.7410293352677454,0.29307568438003223
Pen Based,0.6243747157799,0.6673862521028006,0.6243747157799,0.617979353577683,0.6683053578149251,0.6280544147120511,0.5937935924353223,0.5913110152096984,0.004612978457434027
Shuttle,0.9065517241379311,0.9097371300649014,0.9065517241379311,0.9015875821069556,0.43606937266428863,0.9068403844193046,0.5515531246124049,0.7203230816981693,0.0
Vertebra,0.7903225806451613,0.8333924140375754,0.7903225806451613,0.7917214413321199,0.8099460171900978,0.7940531967623502,0.6758845150186379,0.6952946813240778,0.4666666666666667
Wine,0.9444444444444444,0.949106449106449,0.9444444444444444,0.9435246235246235,0.9965899180184894,0.9448663696644038,0.9206307311874453,0.9196796483051292,0.8571428571428571
Yeast,0.11447811447811448,0.10121938429702261,0.11447811447811448,0.0986619407537121,0.3205764732667511,0.11313093048061533,0.0804339323441413,0.12112067916819538,0.0
FARS,0.688768941269684,0.6844024069855297,0.688768941269684,0.6522140934100547,0.46162358664039305,0.6883696825629237,0.5209292802464668,0.6209300600514341,0.0
