,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.624,0.5742085259373396,0.624,0.5977352614015573,0.587515981122244,0.619119468472504,0.21941973196616016,0.30716358345697053,0.4588626739261948
Car Evaluation,0.6994219653179191,0.48919108556918045,0.6994219653179191,0.5757146789351579,0.6599804492753475,0.6731241040044471,0.0,0.0,0.0
Contraceptive,0.4101694915254237,0.554900515843773,0.4101694915254237,0.2985366396704795,0.6876373926300235,0.42013131579465834,0.16486853390050554,0.21197865291059173,0.0
Dermatology,0.5135135135135135,0.3238662391204764,0.5135135135135135,0.37705998681608444,0.6666666666666666,0.4875588566224629,0.31329951743238016,0.4426654713866554,0.0
Glass,0.37209302325581395,0.16511627906976745,0.37209302325581395,0.22480620155038764,0.6054771133259506,0.33402833466987436,0.17723725681177338,0.2339773375952642,0.0
Hayes,0.40625,0.24228896103896103,0.40625,0.3033088235294118,0.6129755661005661,0.38270603213312293,0.1298007084609129,0.1405118847058488,0.4615384615384615
Heart,0.4918032786885246,0.46850268513284343,0.4918032786885246,0.4600863330586745,0.5790517577862123,0.4895897024230745,0.18008639532419915,0.24665021916222132,0.0
New Thyroid,0.8372093023255814,0.720514950166113,0.8372093023255814,0.7744782349433513,0.8108204134366925,0.8250614238812206,0.5061600346315159,0.6354353692277512,0.0
Page,0.9205479452054794,0.8823581902373143,0.9205479452054794,0.9010381871628482,0.6399796100722122,0.9169400806743454,0.3460504547877846,0.5084759930569732,0.0
Pen Based,0.18963165075034105,0.04736245345516535,0.18963165075034105,0.07290373219417999,0.5581817028886723,0.14895544850470932,0.0901678291853853,0.15084742892728686,0.0
Shuttle,0.8411206896551724,0.7826766489202082,0.8411206896551724,0.8104632791253221,0.4935884923267673,0.8354493546648951,0.2528932787029297,0.4937529210730239,0.0
Vertebra,0.7741935483870968,0.6736242884250474,0.7741935483870968,0.7061343880031311,0.8177946447396164,0.7638266312409329,0.5211569962971865,0.681117881594259,0.9333333333333333
Wine,0.5833333333333334,0.537037037037037,0.5833333333333334,0.5094760312151617,0.7660934744268078,0.5787973043027476,0.37733171830653633,0.47442373635805546,0.0
Yeast,0.37373737373737376,0.20094329538773983,0.37373737373737376,0.24556387183584227,0.5070133069851416,0.34663918260455717,0.09754076203676318,0.18592578753567005,0.0
FARS,0.573685253045459,0.47855007294789037,0.573685253045459,0.4901468295814035,0.6069764199767,0.5635013090573665,0.27266567968646166,0.4975955490431867,0.0
