,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.488,0.9124615384615384,0.488,0.5870362413787142,0.6362234077953379,0.5095484779616529,0.4258811601798987,0.4298074498328676,0.2041742286751361
Car Evaluation,0.869942196531792,0.8983988949241482,0.869942196531792,0.8777837615378873,0.8960055803502174,0.8724544611639746,0.7495024906824067,0.749191945265769,0.8925619834710744
Contraceptive,0.5288135593220339,0.5795816927783819,0.5288135593220339,0.5395113593770973,0.5631056771310544,0.533058372897771,0.30648516227040273,0.3076458719161146,0.30026338893766463
Dermatology,0.9459459459459459,0.9471471471471471,0.9459459459459459,0.9456298403666825,0.9581756168214501,0.9460550201397708,0.9292801282997656,0.9324485159193918,0.6666666666666667
Glass,0.5581395348837209,0.6430232558139535,0.5581395348837209,0.5602536997885835,0.7343174738294357,0.5649189335603452,0.4697055750677854,0.46694380404025565,0.049382716049382706
Hayes,0.875,0.8782467532467532,0.875,0.8727297008547008,0.9701003067236099,0.8752941670869054,0.8195007312213355,0.8088836310298582,0.9230769230769231
Heart,0.5573770491803278,0.6183710642727035,0.5573770491803278,0.5747267759562842,0.31242872526641335,0.5624202507679087,0.3304317002049094,0.3620140923194066,0.0
New Thyroid,0.8372093023255814,0.9003993422598073,0.8372093023255814,0.8464658131791549,1.0,0.842584995797811,0.7499444074660039,0.7417366787052347,1.0
Page,0.960730593607306,0.9614160372085714,0.960730593607306,0.9601321350581287,0.8192104713345163,0.9607928662718719,0.7777487787763947,0.7856869640281737,0.365393061045235
Pen Based,0.9840836743974534,0.9842227054029893,0.9840836743974534,0.9840512061378526,0.9975280310032966,0.9840963119566565,0.9824137446209944,0.9823358821597578,0.869235554399122
Shuttle,0.9962931034482758,0.9962901190917177,0.9962931034482758,0.9953568361175386,0.6667446655214624,0.9962928321423954,0.8190500403667129,0.9895588125537093,0.0
Vertebra,0.7903225806451613,0.8186379928315412,0.7903225806451613,0.7893524132912927,0.7966719023443335,0.7928155127222611,0.6827824809513786,0.6905055091011678,0.47666666666666674
Wine,0.9444444444444444,0.9523809523809523,0.9444444444444444,0.9444444444444444,1.0,0.9451604751074045,0.9242701736186122,0.9205607476635514,0.8571428571428571
Yeast,0.44107744107744107,0.5791905827114694,0.44107744107744107,0.4586170486079788,0.5228915888124483,0.4508510259676781,0.3492413280239073,0.32743711965892947,0.00015034760674295558
FARS,0.7602753293057344,0.7396749335989571,0.7602753293057344,0.7464853011453152,0.47681474717153904,0.7583552698143816,0.5750589027558834,0.6747130060418306,0.003498429925071513
