,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.512,0.8827820271682341,0.512,0.6089858684766886,0.6156423482047428,0.5323259155302718,0.41709974202847605,0.42833016769727633,0.23684210526315788
Car Evaluation,0.8294797687861272,0.8766016486217052,0.8294797687861272,0.8436532556808769,0.845717780198745,0.8335532054226538,0.6798556200504424,0.6797908442321043,0.871900826446281
Contraceptive,0.5050847457627119,0.566631753785798,0.5050847457627119,0.5169152147889708,0.5401357431893112,0.5101219242630183,0.27521516412791985,0.2746274444534024,0.2791922739244952
Dermatology,0.972972972972973,0.9754299754299754,0.972972972972973,0.973172551433421,0.9883255347593582,0.9731958252343044,0.9663830918375307,0.9666328388260664,0.9166666666666666
Glass,0.4883720930232558,0.6494186046511629,0.4883720930232558,0.4923286016309272,0.777602121127236,0.4996359622794958,0.4411604349835405,0.4294231588096662,0.11111111111111112
Hayes,0.875,0.8818181818181818,0.875,0.8742559523809523,0.955095394801277,0.8756154747948418,0.8313615639291131,0.8080650264599865,0.9230769230769231
Heart,0.45901639344262296,0.5283697632058287,0.45901639344262296,0.4851011162486572,0.29184075086687883,0.4645598235212299,0.2008533185541006,0.22216385739545466,0.0
New Thyroid,0.7674418604651163,0.8687455954897816,0.7674418604651163,0.7765857873137015,0.9859122657704106,0.7756645539725037,0.6698093649421236,0.6614444782900227,1.0
Page,0.9360730593607306,0.95278224362366,0.9360730593607306,0.9405836364740474,0.7132970186834899,0.9375678198195867,0.6646131855296441,0.6749704559479995,0.19675010979358803
Pen Based,0.9831741700773079,0.983282063400657,0.9831741700773079,0.9831534418177086,0.9964666489977393,0.9831839775828184,0.9814132619944098,0.9813190472807944,0.8612023348205518
Shuttle,0.14448275862068966,0.8650763021110881,0.14448275862068966,0.23864907454981904,0.29242003429357394,0.1563202155394806,0.09055835441168164,0.10814235980942827,0.0
Vertebra,0.8225806451612904,0.8539898132427843,0.8225806451612904,0.8257408385148886,0.7750917244384811,0.8253402320568355,0.7208832917666971,0.7362358656014376,0.5599999999999999
Wine,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966,1.0,0.9724160850780991,0.9609943054472779,0.9591605129565426,0.9285714285714286
Yeast,0.4208754208754209,0.5237508008098472,0.4208754208754209,0.4473417983780691,0.43412751834497243,0.42852738002083923,0.3020838500277163,0.29595097573157864,8.832696284493862e-05
FARS,0.354164603347529,0.4774281088345096,0.354164603347529,0.3782235211169923,0.22980538674648535,0.36267704028309766,0.17366632070193977,0.23503354704166174,0.0
