,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.432,0.9298765432098766,0.432,0.5251004898715742,0.7947059478378415,0.4541033656773984,0.4057189741953266,0.4015435185789155,0.14367816091954022
Car Evaluation,0.8236994219653179,0.881261740385719,0.8236994219653179,0.8361403016896103,0.6397122070952097,0.8286197716452716,0.7238210691228301,0.6938016678239026,0.6748251748251748
Contraceptive,0.5389830508474577,0.5942919670583754,0.5389830508474577,0.5479447528879637,0.5018658314373209,0.5435820967880676,0.32907175523456694,0.32847810246842746,0.33801580333625986
Dermatology,0.7432432432432432,0.7378807378807379,0.7432432432432432,0.7204504738080056,0.8424539233109812,0.7427525240809276,0.6991351303040862,0.7102904705649546,0.0
Glass,0.5348837209302325,0.5567406889316314,0.5348837209302325,0.5016913319238901,0.6220758666021065,0.5367995484644392,0.4290090656702541,0.41474366610361185,0.0
Hayes,0.5625,0.5540413533834586,0.5625,0.537890625,0.7272990167727009,0.5617203742203741,0.3966804021154007,0.3295571754044008,0.6923076923076923
Heart,0.26229508196721313,0.6399747793190417,0.26229508196721313,0.3381342701014832,0.3565286285266877,0.2771649243009591,0.14898000321977806,0.14959299058029996,0.0
New Thyroid,0.7674418604651163,0.8442565186751234,0.7674418604651163,0.7786225402504471,0.9692310357014993,0.7738425921806797,0.6406434966317994,0.6287460834286768,0.8571428571428571
Page,0.8821917808219178,0.9382769149193365,0.8821917808219178,0.9042961092790783,0.6349089797103982,0.8870118521952401,0.5630563001399592,0.5805323244536558,0.2656126482213439
Pen Based,0.23237835379718053,0.2281937771536709,0.23237835379718053,0.13998001727938383,0.3522108427823395,0.23199160647373973,0.16383766149963408,0.21158340784281454,0.0
Shuttle,0.9147413793103448,0.9362049675961152,0.9147413793103448,0.9239974763496499,0.4566761334330843,0.9166518620911934,0.5894184230889576,0.7719414450028591,0.0
Vertebra,0.7096774193548387,0.7673697270471465,0.7096774193548387,0.6944474646014369,0.7086974664707819,0.7145612435371682,0.5599937107722535,0.6000862007044172,0.23333333333333334
Wine,0.9166666666666666,0.927128427128427,0.9166666666666666,0.9144647944647945,0.9983560090702946,0.9176079695006081,0.8842913636855584,0.8821476250549224,0.7857142857142857
Yeast,0.1750841750841751,0.30912927151300984,0.1750841750841751,0.18964982557357923,0.5055782246457428,0.18226925381854664,0.18463690017926698,0.17862423534051705,0.0
FARS,0.648360899277013,0.7164085397193332,0.648360899277013,0.6498015492657748,0.43405633636270247,0.6540082250539332,0.461626453739754,0.5524020326849299,0.0004938078695398701
