,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.528,0.8844000000000001,0.528,0.6235677351120978,0.6223371001482326,0.5480788732394366,0.42935964704155943,0.44191602070433994,0.2531760435571688
Car Evaluation,0.8439306358381503,0.873741403614507,0.8439306358381503,0.8516913631161112,0.7718355035595497,0.8465563863007016,0.7235104244107019,0.7032729427395887,0.8512396694214877
Contraceptive,0.5220338983050847,0.5826761877414277,0.5220338983050847,0.5343062086886752,0.5497105596794243,0.5270202503433202,0.3017793727344684,0.30256457617325017,0.30026338893766463
Dermatology,0.8378378378378378,0.852970827970828,0.8378378378378378,0.8422574811803697,0.9058952616030297,0.8391913397660852,0.7970159216434881,0.7996949862472895,0.3600000000000001
Glass,0.5813953488372093,0.663953488372093,0.5813953488372093,0.5846149132296756,0.6826700838090272,0.5880425420364752,0.5042240216752631,0.49327065622157196,0.17777777777777776
Hayes,0.8125,0.8778409090909092,0.8125,0.8241554774083546,0.9743361841778131,0.8180353969194314,0.7399384724854041,0.7404539489597682,0.7692307692307693
Heart,0.4098360655737705,0.6085089773614364,0.4098360655737705,0.48335154826958104,0.2865870994333229,0.4223725173392182,0.20820393673472046,0.21701058155830655,0.0
New Thyroid,0.8372093023255814,0.8854122621564482,0.8372093023255814,0.8469095883596567,0.9759390227743041,0.8413734323633265,0.7297832098002391,0.715720615932138,0.8571428571428571
Page,0.9515981735159817,0.9539337776872319,0.9515981735159817,0.9519334704565359,0.820439339492958,0.9518100284614248,0.73585496872796,0.7435451690560044,0.365393061045235
Pen Based,0.9777171441564347,0.9779427714925917,0.9777171441564347,0.9776890449728581,0.9957308027926727,0.9777376514302182,0.9753752291939064,0.9752701355095216,0.8151738940897969
Shuttle,0.9955172413793103,0.9959904691826607,0.9955172413793103,0.9946023746395194,0.6390507499615826,0.9955602435055824,0.8035542062215859,0.9873735352906452,0.0
Vertebra,0.7419354838709677,0.8129967274427302,0.7419354838709677,0.7545314900153609,0.7928217738804145,0.7478781615096033,0.6235329505772141,0.6334631194740209,0.44000000000000006
Wine,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9936366213151927,0.9444444444444443,0.9193722943722943,0.9158878504672897,0.9285714285714286
Yeast,0.3602693602693603,0.4677622756680118,0.3602693602693603,0.37213039905658424,0.4012169781036189,0.3679563855103077,0.2318614935145176,0.22978079812146332,1.6950301715370527e-05
FARS,0.7531444983658513,0.7378785899463943,0.7531444983658513,0.7405325552868218,0.47724725539937785,0.751730635435871,0.5603768951808291,0.6662655555222012,0.0027885430666664698
