,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.776,0.9410526315789473,0.776,0.8254462745098039,0.6950017189268872,0.7885735543338984,0.6766408494609801,0.700777910279203,0.5716878402903811
Car Evaluation,0.8352601156069365,0.8266361010173924,0.8352601156069365,0.8130405425171698,0.747939220838222,0.8344686856711576,0.6576715608589895,0.6248655603398683,0.7662337662337663
Contraceptive,0.5864406779661017,0.6148041601662396,0.5864406779661017,0.592886538705358,0.49506145520014316,0.5889105782554296,0.3818483244068747,0.38329590586041434,0.3503072870939421
Dermatology,0.3918918918918919,0.27837837837837837,0.3918918918918919,0.2970082795095662,0.6299671681250628,0.3778838412880966,0.3536541970761905,0.40271182044335196,0.0
Glass,0.5348837209302325,0.5118217054263566,0.5348837209302325,0.4668680041864013,0.5570951227214199,0.5327016447289744,0.41132287411730173,0.3943597376494048,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.4262295081967213,0.47208875070661394,0.4262295081967213,0.4472765732416711,0.2963967075658162,0.430027083096088,0.13839229682531567,0.14162552154261768,0.0
New Thyroid,0.2558139534883721,0.17033312382149593,0.2558139534883721,0.16342494714587738,0.6597366597366597,0.24465235654438153,0.21244713070069077,0.20620897581561362,0.6666666666666666
Page,0.06027397260273973,0.054954566686645015,0.06027397260273973,0.054921775308284085,0.5486064008367448,0.05974820776064868,0.17673739187490184,0.2365655260994634,0.05676328502415459
Pen Based,0.2723965438835834,0.320857112658255,0.2723965438835834,0.17983253226828286,0.31243496790168,0.27618873407278033,0.220242280454759,0.2505174600344639,0.0
Shuttle,0.5707758620689655,0.8163599133553598,0.5707758620689655,0.6311222543132808,0.36660179959132033,0.5868243427734959,0.3509163000228768,0.3237918854569545,0.0
Vertebra,0.6935483870967742,0.7453310696095076,0.6935483870967742,0.7079164332025935,0.7076141535745194,0.6979566867334213,0.52727437587164,0.5412791431063824,0.4
Wine,0.5833333333333334,0.5674074074074074,0.5833333333333334,0.508881430450058,0.7218109668109669,0.5818486731774687,0.4321909255721583,0.46683025265459027,0.05714285714285714
Yeast,0.4781144781144781,0.4888925803182385,0.4781144781144781,0.4487566392975184,0.3508545021792685,0.4790746286704881,0.3758472617983118,0.34035916344249634,0.0
FARS,0.4172031296424681,0.41567296443169577,0.4172031296424681,0.4163873229532251,0.5034886741154565,0.41706355834871434,0.2301020023793678,0.40470955038729245,0.0
