,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.656,0.9212287581699347,0.656,0.7339384722706661,0.6810850784964333,0.6736312317531302,0.5550664342974707,0.5730429585541726,0.4022988505747126
Car Evaluation,0.8352601156069365,0.8812548635571801,0.8352601156069365,0.8475145946714348,0.5565924374326896,0.8392421160259993,0.6854754899172751,0.7002678306446276,0.5476341839978204
Contraceptive,0.6,0.6233667180277349,0.6,0.6070500521894726,0.5788155339025672,0.6020516115940068,0.3931158355107602,0.39764467433220596,0.32528533801580334
Dermatology,0.36486486486486486,0.14684684684684685,0.36486486486486486,0.20345345345345345,0.779000104000104,0.3214755295836377,0.1729112266147751,0.22537688983760462,0.0
Glass,0.46511627906976744,0.47674418604651164,0.46511627906976744,0.46511627906976744,0.4534057501072927,0.4661498708010336,0.2936103406736142,0.2991453320689632,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,1.0
Heart,0.5245901639344263,0.6020803374556609,0.5245901639344263,0.5423443694417659,0.4158338355978235,0.5308007275302988,0.3133670361442237,0.3084939713218678,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.978892457602135,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.919634703196347,0.9266686080825023,0.919634703196347,0.9192945336506112,0.7072951520014967,0.9202697335639786,0.6123887230414652,0.5857305450077253,0.184409310496267
Pen Based,0.7694406548431105,0.7740759417046649,0.7694406548431105,0.7705309408942173,0.7234278309246319,0.7698597493565194,0.7442500885031412,0.7440387842645833,0.08039452900389711
Shuttle,0.7075,0.9657865508670577,0.7075,0.8137139495293005,0.443627205976252,0.7251296469801846,0.4489240129168628,0.52148214602528,0.0
Vertebra,0.8548387096774194,0.857646597884289,0.8548387096774194,0.8558808933002482,0.7575568333248245,0.8550932122739264,0.7379591411842705,0.7685948580270977,0.75
Wine,0.9722222222222222,0.974074074074074,0.9722222222222222,0.9719701552732407,0.9965899180184894,0.9723902813790455,0.9582763812332672,0.958888466336381,0.9
Yeast,0.47474747474747475,0.4854586508344407,0.47474747474747475,0.47064368067006324,0.3832807187758779,0.4757016472228715,0.3286367663731363,0.32554558100284076,0.0
FARS,0.7123402990987422,0.7623913783468974,0.7123402990987422,0.6785476240259588,0.424686978512335,0.7166172081766938,0.5155097504549639,0.6358951261291214,9.347962904059529e-05
