,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.608,0.560451282051282,0.608,0.5829130313976104,0.5429646330680814,0.6033465495608532,0.19833469607221513,0.27766178104840783,0.43678160919540227
Car Evaluation,0.5433526011560693,0.7723404255319148,0.5433526011560693,0.5497082220153664,0.6599804492753475,0.5584033800972968,0.27268752935571866,0.3755529261932792,0.0
Contraceptive,0.29152542372881357,0.48225251780889217,0.29152542372881357,0.20066310769110182,0.6876373926300235,0.30239778328241224,0.14869836605077677,0.18460133611402083,0.0
Dermatology,0.36486486486486486,0.14684684684684685,0.36486486486486486,0.20345345345345345,0.6441816816816817,0.3214755295836377,0.1729112266147751,0.22537688983760462,0.0
Glass,0.3953488372093023,0.17212739145377476,0.3953488372093023,0.2366302930041676,0.613562391008261,0.3536548986239848,0.20154609676598553,0.26831696774852426,0.0
Hayes,0.46875,0.36354166666666665,0.46875,0.3393895348837209,0.7208333333333333,0.4567338197969544,0.2503527583529886,0.2792848008753788,0.0
Heart,0.45901639344262296,0.44698629169022047,0.45901639344262296,0.43079906168219234,0.5486151667486461,0.4578960548075207,0.19050596640667758,0.24949072072646958,0.0
New Thyroid,0.27906976744186046,0.16952264381884946,0.27906976744186046,0.1774958891237961,0.8050455596355229,0.2635851151256506,0.35357728931573357,0.38394941593405424,0.8333333333333334
Page,0.02009132420091324,0.007784116142996969,0.02009132420091324,0.010392991611448714,0.6244873069749256,0.017566440802858126,0.10364485722343679,0.13778375028647613,0.0
Pen Based,0.18963165075034105,0.04736245345516535,0.18963165075034105,0.07290373219417999,0.5581817028886723,0.14895544850470932,0.09016782918538527,0.15084742892728686,0.0
Shuttle,0.0571551724137931,0.056207815931839836,0.0571551724137931,0.056251606671810554,0.6070397967791988,0.057067731508582305,0.19715785178039558,0.27336038805521284,0.0
Vertebra,0.6612903225806451,0.5542521994134897,0.6612903225806451,0.5788955713504648,0.8254154447702836,0.6498806809951129,0.4758096768153887,0.5953523699830584,0.0
Wine,0.6111111111111112,0.4125252525252525,0.6111111111111112,0.48076648076648076,0.8109066859066859,0.5854884955332813,0.4679961886636001,0.55673065564928,0.0
Yeast,0.026936026936026935,0.0022427666495463106,0.026936026936026935,0.003337272652945942,0.574586954819513,0.013461785484906872,0.03308239336211602,0.034380462625425066,0.0
FARS,0.37560661582648314,0.41551503373116966,0.37560661582648314,0.3944996032834391,0.5644809276667291,0.37891508413480535,0.2107356126025762,0.37078783369981766,0.0
