,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.872,0.8821034047919294,0.872,0.8757353817256678,0.7063057005091542,0.8729089175726618,0.6495714534341394,0.7795219173808557,0.8421052631578947
Car Evaluation,0.9913294797687862,0.9915962650066696,0.9913294797687862,0.9913952873441382,0.9997962213899785,0.9913537270400551,0.9811081278346118,0.9812907396388277,0.9917355371900827
Contraceptive,0.5254237288135594,0.5382258830983685,0.5254237288135594,0.5294437095125256,0.5577727528720345,0.5265623403711516,0.27637195673591447,0.27853114364896536,0.2528533801580334
Dermatology,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9892129629629629,0.972972972972973,0.9647554683283758,0.9660706098120129,0.825
Glass,0.813953488372093,0.8353905784138342,0.813953488372093,0.8155603655603655,0.8909602150750592,0.8158567455776592,0.7680856349771507,0.7592977347770864,0.611111111111111
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.9580415939013225,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.5409836065573771,0.5115054344562542,0.5409836065573771,0.5255297579309152,0.33245414107360555,0.5381641049918285,0.2496739894896353,0.26878161176803606,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,1.0,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9671232876712329,0.9721716277410195,0.9671232876712329,0.9689034436606122,0.9072791304752368,0.9675800601034363,0.8255803901318469,0.8425313937192712,0.6786707656272873
Pen Based,0.992269213278763,0.9923239045749831,0.992269213278763,0.9922628541763083,0.9986106391207908,0.9922741849656681,0.991460952410165,0.9914163909410006,0.9300633383796018
Shuttle,0.9962931034482758,0.9972976619694817,0.9962931034482758,0.9966806061368921,0.7278251071831099,0.99638434331674,0.885115250722609,0.9896443231908769,0.0
Vertebra,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.8084841387047423,0.7903225806451614,0.6500198412698414,0.6641666666666667,0.63
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5892255892255892,0.5869517328111404,0.5892255892255892,0.58429110228157,0.6156656275028325,0.5890181472507705,0.5010954558233124,0.46880962364058987,0.0
FARS,0.7917203129642468,0.7898431412329003,0.7917203129642468,0.7898216601107018,0.5988963356189497,0.7915492923609697,0.6526357994097413,0.7182373194638226,0.05792858743610599
