,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.736,0.7989433962264152,0.736,0.7661667485667485,0.6748884609248303,0.7413093450506868,0.42651049552847003,0.5624618811956518,0.6373260738052027
Car Evaluation,0.9884393063583815,0.9888514914270384,0.9884393063583815,0.988536204900566,0.9984948141359501,0.9884767635283843,0.9762788126011505,0.9751966602914024,0.987603305785124
Contraceptive,0.5389830508474577,0.5433663262907733,0.5389830508474577,0.540633404457213,0.5259840306008031,0.5393786060246832,0.28475596756267446,0.28958644427333347,0.2212467076382792
Dermatology,0.9594594594594594,0.9606879606879607,0.9594594594594594,0.959543394326003,0.994773051023051,0.9595710115417126,0.9474914534362975,0.9493468046745792,0.75
Glass,0.8372093023255814,0.8433640003407445,0.8372093023255814,0.8349537628607395,0.9062421181973459,0.8377651058190233,0.8038053376752559,0.787874795153214,0.7333333333333333
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.93737154939078,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.5409836065573771,0.48430280397493514,0.5409836065573771,0.5109133489461358,0.32473654590392675,0.5352883393443779,0.22000797734299976,0.25291719822016523,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9996356033452806,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9744292237442922,0.9753046072755147,0.9744292237442922,0.9747420992331133,0.8571261548424196,0.9745087391261721,0.8565406889899366,0.8676041191467518,0.5251354120919339
Pen Based,0.9895407003183265,0.9896471517449279,0.9895407003183265,0.989547544941757,0.9983351534150279,0.9895503767744176,0.9884190989847003,0.9883867938751097,0.9041074072035578
Shuttle,0.9962931034482758,0.9973341338473284,0.9962931034482758,0.9966965095437734,0.74598697647875,0.9963876527618876,0.8873886793897056,0.9896419145696546,0.0
Vertebra,0.7741935483870968,0.7600806451612904,0.7741935483870968,0.7659161857913158,0.8120575863540901,0.7728889372078215,0.5869959661673546,0.6339893758854577,0.65
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5723905723905723,0.5800761032285904,0.5723905723905723,0.5708565293177003,0.5751677367668316,0.5730808314128544,0.4802793011697123,0.44073945311429175,0.0
FARS,0.7869169060116866,0.7842287439998353,0.7869169060116866,0.782867920561775,0.5799003479510703,0.7866717663616791,0.6374188262439169,0.7122239263289768,0.04814265278387635
