,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.808,0.9435294117647058,0.808,0.8491015004413063,0.7005158215817957,0.8186906785500988,0.7073251203820043,0.7351537557585273,0.6261343012704174
Car Evaluation,0.8439306358381503,0.8368811259110329,0.8439306358381503,0.8259169335275282,0.787228305555687,0.8432848674596395,0.6843855030698998,0.6428042437346064,0.6965761511216058
Contraceptive,0.5796610169491525,0.6057450549771263,0.5796610169491525,0.5863410295531271,0.48945036107351836,0.5819391013021789,0.36816488019938026,0.370422432065438,0.32777290020485805
Dermatology,0.5,0.28934592900110145,0.5,0.35325801992468664,0.6467271324655133,0.4689617506803486,0.39115568230212966,0.43504566012288803,0.0
Glass,0.5348837209302325,0.5118217054263566,0.5348837209302325,0.4668680041864013,0.5570951227214199,0.5327016447289744,0.41132287411730173,0.3943597376494048,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.47540983606557374,0.4598694458868036,0.47540983606557374,0.4674374031481935,0.3260241611570981,0.4739538048297434,0.16025962622241274,0.17398453032692118,0.0
New Thyroid,0.2558139534883721,0.17033312382149593,0.2558139534883721,0.16342494714587738,0.6597366597366597,0.24465235654438153,0.21244713070069077,0.20620897581561362,0.6666666666666666
Page,0.06027397260273973,0.054954566686645015,0.06027397260273973,0.054921775308284085,0.5486064008367448,0.05974820776064868,0.17673739187490184,0.2365655260994634,0.05676328502415459
Pen Based,0.2723965438835834,0.320857112658255,0.2723965438835834,0.17983253226828286,0.31019185906139934,0.27618873407278033,0.220242280454759,0.2505174600344639,0.0
Shuttle,0.5705172413793104,0.8162302131860647,0.5705172413793104,0.6309438673831504,0.4180625869734122,0.5865697303699641,0.3467387837007851,0.3232079079672042,0.0
Vertebra,0.6935483870967742,0.7453310696095076,0.6935483870967742,0.7079164332025935,0.7076141535745194,0.6979566867334213,0.52727437587164,0.5412791431063824,0.4
Wine,0.5833333333333334,0.5674074074074074,0.5833333333333334,0.508881430450058,0.7218109668109669,0.5818486731774687,0.4321909255721583,0.46683025265459027,0.05714285714285714
Yeast,0.4781144781144781,0.4888925803182385,0.4781144781144781,0.4487566392975184,0.33708780721957077,0.4790746286704881,0.3758472617983118,0.34035916344249634,0.0
FARS,0.615281766861444,0.4832174086000469,0.615281766861444,0.5171376781309822,0.5034886741154565,0.6003653005540014,0.29756021327817817,0.5430279116157262,0.0
