,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.76,0.8250566037735849,0.76,0.7911783783783783,0.6802959527208534,0.7654872267359076,0.4589848866196035,0.6029073664206508,0.6787658802177858
Car Evaluation,0.9942196531791907,0.994412331406551,0.9942196531791907,0.9942664918572918,0.9955465096472969,0.99423716629621,0.9860070453971662,0.9874641347238577,0.9958677685950413
Contraceptive,0.5254237288135594,0.5235025866978318,0.5254237288135594,0.5243996685864186,0.5250971067947661,0.5252484970651966,0.260874687258613,0.264032157085284,0.18846941761779337
Dermatology,0.9324324324324325,0.9377149877149877,0.9324324324324325,0.9325211911418808,0.9810107802509763,0.9329102040553423,0.9138638866738257,0.9163998348962833,0.63
Glass,0.8372093023255814,0.8514547468035839,0.8372093023255814,0.8330181446460516,0.8270735671087882,0.8384846155020901,0.8020030760813902,0.7932899523121505,0.6666666666666666
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.969355641216501,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.4918032786885246,0.4875097580015613,0.4918032786885246,0.48912988650693573,0.31722057543337223,0.49140983606557376,0.18526446280210868,0.21006955916073144,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9825299906381355,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9735159817351599,0.9744148141690759,0.9735159817351599,0.9738848423376706,0.8834719411630593,0.9735976252471454,0.8437782689041853,0.8641394697402038,0.48578539013321614
Pen Based,0.9890859481582538,0.9892094172986755,0.9890859481582538,0.9890949097604128,0.9980200412114447,0.9890971713519205,0.9879054766261682,0.9878828245265167,0.8997955076508449
Shuttle,0.996551724137931,0.9974237616510837,0.996551724137931,0.9968920840773501,0.725711481811959,0.9966309372610949,0.890218433314654,0.9903556410706099,0.0
Vertebra,0.8387096774193549,0.8430619559651819,0.8387096774193549,0.8394279744025075,0.7793746215745743,0.8391034813335164,0.7241424661153744,0.7446194973404753,0.6766666666666666
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5892255892255892,0.5847445533400528,0.5892255892255892,0.5833475809568002,0.5876119496812608,0.5888153863490255,0.5037596471764665,0.46766628098925683,0.0
FARS,0.7944934138853125,0.792515075531917,0.7944934138853125,0.7925284828706064,0.5938079563968511,0.7943131568975605,0.6570643360670931,0.7219368807630667,0.05693183479542656
