,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.72,0.9377777777777778,0.72,0.7826824880382774,0.685417809941771,0.7355281690140845,0.6270133312172866,0.6448722367896228,0.4812462189957653
Car Evaluation,0.6589595375722543,0.7647340535843626,0.6589595375722543,0.6800545601000649,0.6603946633539484,0.667350894198214,0.4324288832096257,0.4172270946128824,0.7727272727272727
Contraceptive,0.5728813559322034,0.6098996293156635,0.5728813559322034,0.5816530320419641,0.48407609987904837,0.5760599332031883,0.36244767877955403,0.364411116649258,0.33099209833187004
Dermatology,0.6891891891891891,0.5312653562653562,0.6891891891891891,0.5858536280564073,0.7205138115852402,0.6710548589731886,0.6177136744716265,0.6484732689016606,0.0
Glass,0.3023255813953488,0.3732213219217323,0.3023255813953488,0.2606148696264975,0.5219399426346857,0.3076381083116442,0.16494492694347887,0.1434517813243704,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.5081967213114754,0.617572612751012,0.5081967213114754,0.538544106167057,0.39717969370456113,0.5165128659883836,0.34066278607728334,0.33343995310199814,0.03710575139146567
New Thyroid,0.7906976744186046,0.8565295169946334,0.7906976744186046,0.8080338266384778,0.8743290712632819,0.7962612832940548,0.6679952372483071,0.6264869044313283,0.7142857142857143
Page,0.915068493150685,0.9123886897759453,0.915068493150685,0.9113531031524564,0.6107368043822536,0.9148242243457569,0.5378352804585267,0.5847617702934402,0.0
Pen Based,0.3842655752614825,0.40162660635726094,0.3842655752614825,0.3223365769915834,0.24535688720877938,0.38578158449597566,0.32579338214643355,0.3326047618325203,0.0
Shuttle,0.7490517241379311,0.7999446883690782,0.7490517241379311,0.772858762805555,0.3437118775394069,0.7534092104121721,0.34371702638837287,0.36602328840451315,0.0
Vertebra,0.7580645161290323,0.813782991202346,0.7580645161290323,0.7536369386464263,0.7809819984856428,0.762812571446801,0.6244046387742703,0.6512835002824139,0.3866666666666667
Wine,0.5833333333333334,0.5674074074074074,0.5833333333333334,0.508881430450058,0.7327777777777778,0.5818486731774687,0.4321909255721583,0.46683025265459027,0.05714285714285714
Yeast,0.3333333333333333,0.14425301970756518,0.3333333333333333,0.19998952248558066,0.47626240200009295,0.2978425593355847,0.15753785097948764,0.16746086424876042,0.0
FARS,0.6277607210062395,0.5919533119696561,0.6277607210062395,0.5999885755030133,0.5699446853177117,0.6243274727878034,0.4137741258020441,0.5422550014520995,0.0
