,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.592,0.919174818401937,0.592,0.6811489985344407,0.6778899670039801,0.6117968599406832,0.5051312940726946,0.5166396058663592,0.3188142770719903
Car Evaluation,0.7687861271676301,0.8386030744767511,0.7687861271676301,0.789509744254606,0.7129612926596534,0.7746490844810624,0.5876997387497136,0.5820796675150881,0.6923076923076923
Contraceptive,0.5932203389830508,0.6237517048566176,0.5932203389830508,0.6008274164864857,0.5905798672618894,0.5958718575798784,0.3873957837563436,0.39056455833765136,0.3447468539654667
Dermatology,0.5,0.3238662391204764,0.5,0.3700702384470257,0.6195270953561299,0.47644428107578257,0.28460533620632794,0.414566824944881,0.0
Glass,0.23255813953488372,0.3148763381321521,0.23255813953488372,0.19050135910601027,0.5315883657458684,0.23821976236417183,0.14670275380901884,0.15292678466934073,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,1.0
Heart,0.5573770491803278,0.6885245901639344,0.5573770491803278,0.5912568306010929,0.49861507576703723,0.5671986711923159,0.3944911370529809,0.4042741123877797,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9886942023817124,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.8757990867579909,0.9445003940870649,0.8757990867579909,0.9014849396257046,0.6444672213270497,0.8816289182213773,0.5967062824119018,0.5897061493613339,0.39569609134826517
Pen Based,0.7244201909959073,0.7182010136101702,0.7244201909959073,0.714251020149742,0.6877786600174928,0.7238503639711662,0.6932121802564234,0.6956801358995877,0.025257767132654246
Shuttle,0.5296551724137931,0.8791397350766753,0.5296551724137931,0.6571240434482017,0.35991046105069574,0.5495141213718455,0.302756448260035,0.30985264576737176,0.008050862781481514
Vertebra,0.8064516129032258,0.7996727442730247,0.8064516129032258,0.7999678491051334,0.765725046800604,0.8058306066160724,0.6419612332552056,0.6895473721262156,0.7733333333333334
Wine,0.9444444444444444,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9936366213151927,0.9451604751074045,0.9242701736186122,0.9205607476635514,0.8571428571428571
Yeast,0.30303030303030304,0.10036052435167969,0.30303030303030304,0.14988640412369225,0.38841918565671907,0.25602784346124996,0.10242899109079757,0.10407674694795696,0.0
FARS,0.43745667029810836,0.5565949364629189,0.43745667029810836,0.3678642062654086,0.283687566132498,0.4461380469896616,0.274476246131117,0.3752860760866673,0.0
