,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.608,0.560451282051282,0.608,0.5829130313976104,0.5429646330680814,0.6033465495608532,0.19833469607221513,0.27766178104840783,0.43678160919540227
Car Evaluation,0.5433526011560693,0.7723404255319148,0.5433526011560693,0.5497082220153664,0.6599804492753475,0.5584033800972968,0.27268752935571866,0.3755529261932792,0.0
Contraceptive,0.4440677966101695,0.29251051559127333,0.4440677966101695,0.35258284662216,0.5734092128812197,0.4240920610837719,0.1368140079913658,0.16461581224776947,0.0
Dermatology,0.5135135135135135,0.3238662391204764,0.5135135135135135,0.37705998681608444,0.6666666666666666,0.4875588566224629,0.31329951743238016,0.4426654713866554,0.0
Glass,0.3488372093023256,0.19556025369978858,0.3488372093023256,0.24000000000000002,0.5844130675526024,0.32563473437166635,0.18268901058377984,0.2533078162015364,0.0
Hayes,0.46875,0.36354166666666665,0.46875,0.3393895348837209,0.7208333333333333,0.4567338197969544,0.2503527583529886,0.2792848008753788,0.0
Heart,0.5245901639344263,0.35233444616074544,0.5245901639344263,0.4173095467695275,0.5373383040631035,0.5022667660575545,0.16485439477606884,0.2018362981606699,0.0
New Thyroid,0.27906976744186046,0.10304114490161002,0.27906976744186046,0.14418604651162792,0.7063435272737598,0.24155547083492185,0.26592895810407163,0.29844335379197523,0.8571428571428571
Page,0.9013698630136986,0.8300339339688946,0.9013698630136986,0.8632250889613401,0.6244873069749256,0.8943820246486062,0.25431024390396006,0.297024318686667,0.0
Pen Based,0.18963165075034105,0.04736245345516535,0.18963165075034105,0.07290373219417999,0.5581817028886723,0.14895544850470932,0.09016782918538527,0.15084742892728686,0.0
Shuttle,0.8421551724137931,0.710731036370683,0.8421551724137931,0.7704632822553574,0.6069292352482237,0.8282322847119953,0.3461022148695193,0.5004550881253227,0.0
Vertebra,0.6451612903225806,0.5342741935483871,0.6451612903225806,0.5645161290322581,0.8085013440860215,0.6332138590203106,0.44268871426808015,0.5571536043936977,0.0
Wine,0.6111111111111112,0.4125252525252525,0.6111111111111112,0.48076648076648076,0.8109066859066859,0.5854884955332813,0.4679961886636001,0.55673065564928,0.0
Yeast,0.30976430976430974,0.10604943039887277,0.30976430976430974,0.15766286732185,0.5123033338619332,0.2637119818592013,0.052077963443707,0.07096895529192294,0.0
FARS,0.38397543824898483,0.24646039673807135,0.38397543824898483,0.28498593903800373,0.5554119282029402,0.36543904139600397,0.10648838887625502,0.17346954985000554,0.0
