,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.664,0.8639291251384275,0.664,0.7398399999999999,0.654982679313412,0.6782694596465699,0.4676815265435146,0.5281927478628895,0.47126436781609193
Car Evaluation,0.8670520231213873,0.8973389349922223,0.8670520231213873,0.8754937752405495,0.8965180758618143,0.869720635962641,0.7592237241865399,0.7454689926666338,0.871900826446281
Contraceptive,0.5050847457627119,0.5295043177769352,0.5050847457627119,0.5101298876037514,0.5819551426252042,0.5072112425374463,0.25986203557769466,0.2608336091015583,0.2446590576529119
Dermatology,0.918918918918919,0.9271971271971272,0.918918918918919,0.9211390297597195,0.9855871634051457,0.9196653701178923,0.899078429474684,0.8998630609943717,0.7000000000000001
Glass,0.5116279069767442,0.6057183126950569,0.5116279069767442,0.5092052133912599,0.7297310719659992,0.5189563682607754,0.44432470321575995,0.42510978586261133,0.1185185185185185
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.917409449524834,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.45901639344262296,0.5920374707259953,0.45901639344262296,0.4972677595628416,0.3681056779749162,0.4685876603837173,0.2741820742687512,0.26019656977955563,0.0
New Thyroid,0.9767441860465116,0.9796511627906976,0.9767441860465116,0.9773222966758639,1.0,0.9770077435710789,0.9565861930458137,0.9528897406776535,1.0
Page,0.9059360730593607,0.9518437391809019,0.9059360730593607,0.9218597242569844,0.7784565931306536,0.9099257047537386,0.6575655727355405,0.6679180287979475,0.685624359537403
Pen Based,0.9909049567985448,0.9910058918340033,0.9909049567985448,0.9908892489583117,0.9984577240362345,0.9909141318612363,0.9899528884386319,0.989907579321422,0.917257682847937
Shuttle,0.8268103448275862,0.969069412442515,0.8268103448275862,0.8899188156370631,0.5331400833398233,0.8379937266928764,0.5354190194873323,0.6399487454194545,0.0
Vertebra,0.7580645161290323,0.7747415428907937,0.7580645161290323,0.7601310516602461,0.8413626325147047,0.7595508828366514,0.6072396127977717,0.6258165265678222,0.49500000000000005
Wine,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966,1.0,0.9724160850780991,0.9609943054472779,0.9591605129565426,0.9285714285714286
Yeast,0.31986531986531985,0.4182896341961556,0.31986531986531985,0.333380497466072,0.5110641819421232,0.326857145582603,0.26047110381481287,0.22146944531036758,0.0007458132754763035
FARS,0.4520154501337031,0.6291145682126472,0.4520154501337031,0.5103935812486495,0.3787369245616947,0.4638869649924774,0.3089834018174341,0.3408366454527978,0.0021665633716950014
