,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.608,0.8090033444816054,0.608,0.6872783905514964,0.6220835094765976,0.622050306223834,0.37035170825902003,0.43817444254064286,0.41379310344827586
Car Evaluation,0.8583815028901735,0.8837730358612638,0.8583815028901735,0.8650666680654195,0.8759447692240567,0.8606293752893098,0.7475859828184411,0.7274627325912489,0.8636363636363636
Contraceptive,0.5288135593220339,0.549717155548671,0.5288135593220339,0.5346737935608005,0.5563376384453798,0.5306479656328085,0.28830515944573515,0.29055983598631596,0.2663154814164471
Dermatology,0.9324324324324325,0.9462924462924462,0.9324324324324325,0.9307493264015004,0.9963486513486514,0.9336756342356157,0.9170848044466676,0.9187279729781839,0.6666666666666666
Glass,0.5813953488372093,0.7027131782945736,0.5813953488372093,0.5995449949443883,0.7531823769740207,0.5906656873082254,0.5342028968915716,0.515138959649708,0.26666666666666666
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.8768382616335502,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.47540983606557374,0.5801655183337293,0.47540983606557374,0.511704218148537,0.3739255707062954,0.4833437799677158,0.2636989435806674,0.2677835831106293,0.0
New Thyroid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Page,0.9004566210045662,0.9508575673367831,0.9004566210045662,0.9179081466712996,0.7815259085317419,0.9048166676012394,0.6520397166809396,0.6582515113149883,0.7092665788317962
Pen Based,0.990450204638472,0.990539552784458,0.990450204638472,0.990454623407247,0.9983979192328712,0.9904583265311317,0.9894213108448491,0.9893960688312144,0.911872518444701
Shuttle,0.8318965517241379,0.9701426214812152,0.8318965517241379,0.8930106204631343,0.549805681691016,0.842814894517705,0.5441749701376525,0.6467784652318244,0.1523848802353994
Vertebra,0.8064516129032258,0.8282732447817837,0.8064516129032258,0.8090735738121723,0.8078126678104005,0.8083877702202168,0.6782978396895188,0.7022909795999339,0.58
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.3333333333333333,0.40231601287343477,0.3333333333333333,0.34486349499470303,0.4104611464971821,0.3386114834587908,0.24320301574777162,0.20844956982876633,0.00042912513842746397
FARS,0.5240665544221056,0.6475901613751067,0.5240665544221056,0.5752849619112103,0.3763387950564255,0.5333143952022935,0.35464733649271124,0.40527279073205297,0.002425059510729191
