,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.752,0.9395121951219512,0.752,0.8060068532267276,0.6848947184457733,0.7658964695023459,0.6552872936809941,0.6771389965112402,0.528735632183908
Car Evaluation,0.7514450867052023,0.7984132031905279,0.7514450867052023,0.7539581583003195,0.6668152632310229,0.7554853418463886,0.5383048999036397,0.5298391774551614,0.8842975206611571
Contraceptive,0.5661016949152542,0.5966866013200837,0.5661016949152542,0.5736072355818745,0.47822343760227826,0.5687519708890797,0.35014288666239485,0.35209357750314263,0.31957857769973663
Dermatology,0.5135135135135135,0.3995085995085995,0.5135135135135135,0.42251118113187086,0.7205138115852402,0.5005287576404742,0.5257999510935953,0.5440535435211289,0.0
Glass,0.3023255813953488,0.3732213219217323,0.3023255813953488,0.2606148696264975,0.5219399426346857,0.3076381083116442,0.16494492694347887,0.1434517813243704,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.39344262295081966,0.5784313725490196,0.39344262295081966,0.44164509634742594,0.4119857845694835,0.40522399708621676,0.20532472899878237,0.20199929779979386,0.0
New Thyroid,0.7906976744186046,0.8565295169946334,0.7906976744186046,0.8080338266384778,0.8743290712632819,0.7962612832940548,0.6679952372483071,0.6264869044313283,0.7142857142857143
Page,0.915068493150685,0.9123886897759453,0.915068493150685,0.9113531031524564,0.6107368043822536,0.9148242243457569,0.5378352804585267,0.5847617702934402,0.0
Pen Based,0.38017280582082763,0.4084855010827961,0.38017280582082763,0.32241321657985994,0.23282072425671124,0.3825834776553809,0.3182767392612356,0.3262327950024139,2.4649522930580458e-08
Shuttle,0.7425,0.7932253560548751,0.7425,0.7661759893578177,0.34656519133630376,0.746841746034381,0.3312417140453149,0.35126741100138625,0.0
Vertebra,0.7580645161290323,0.813782991202346,0.7580645161290323,0.7536369386464263,0.7809819984856428,0.762812571446801,0.6244046387742703,0.6512835002824139,0.3866666666666667
Wine,0.5833333333333334,0.5674074074074074,0.5833333333333334,0.508881430450058,0.7327777777777778,0.5818486731774687,0.4321909255721583,0.46683025265459027,0.05714285714285714
Yeast,0.3333333333333333,0.14425301970756518,0.3333333333333333,0.19998952248558066,0.47626240200009295,0.2978425593355847,0.15753785097948764,0.16746086424876042,0.0
FARS,0.6277607210062395,0.5919533119696561,0.6277607210062395,0.5999885755030133,0.5699446853177117,0.6243274727878034,0.4137741258020441,0.5422550014520995,0.0
