,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.68,0.8427817503586801,0.68,0.7438398942698009,0.649234573742911,0.6921534703786402,0.4549289386249844,0.5281288435115103,0.5081669691470054
Car Evaluation,0.8583815028901735,0.8735972506631414,0.8583815028901735,0.8630458672374414,0.8860594145942711,0.8597428156401508,0.7380231885272229,0.7145703293384766,0.8172963400236127
Contraceptive,0.5152542372881356,0.5252992829863835,0.5152542372881356,0.517920541544515,0.553528510705423,0.5161515206914851,0.2605654441184728,0.2629490437538796,0.21890547263681595
Dermatology,0.9054054054054054,0.9122661122661123,0.9054054054054054,0.9074337974337975,0.9751709100177237,0.9060248389780886,0.8807956169431395,0.8826779006142697,0.6000000000000001
Glass,0.3953488372093023,0.4567602939695962,0.3953488372093023,0.39026477398570425,0.5808048799296578,0.4002408750756568,0.2906537340951206,0.2764260676545059,0.029629629629629624
Hayes,0.875,0.875,0.875,0.875,0.9559737815393924,0.875,0.8272604588394062,0.803076923076923,0.8461538461538461
Heart,0.39344262295081966,0.531039689387403,0.39344262295081966,0.4330959622184309,0.3990714538895069,0.40293387013080406,0.18955258409544914,0.18737367276209188,0.0
New Thyroid,0.9302325581395349,0.9511627906976744,0.9302325581395349,0.9345525235798113,1.0,0.9320971668306832,0.8853908527347382,0.8719701705447173,1.0
Page,0.8657534246575342,0.9412513781214925,0.8657534246575342,0.8902513732914917,0.7467401919782308,0.8721127272964765,0.5900572789865353,0.599341678017529,0.6974454691845996
Pen Based,0.988631195998181,0.9887105658615648,0.988631195998181,0.988641986576799,0.9980955295244304,0.9886384109137323,0.9873802477448769,0.987372151858512,0.8960094374942713
Shuttle,0.6844827586206896,0.9331125367842319,0.6844827586206896,0.7864799371272332,0.46640875078918803,0.7014745173121044,0.4277058956490083,0.47306024738698316,0.0
Vertebra,0.7903225806451613,0.8276740237691002,0.7903225806451613,0.7983277653029556,0.827100105044802,0.7935782864356664,0.6687489829958514,0.6861316355460063,0.54
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.3063973063973064,0.4355610195581439,0.3063973063973064,0.33671699736108257,0.4384265085666749,0.3148862274854765,0.2535927128490409,0.1973774798834661,0.0010211497389653536
FARS,0.6074081410319897,0.6969372392761561,0.6074081410319897,0.6463875125161576,0.38747136856814307,0.6145854246935941,0.42885910633014956,0.49538222278480243,0.004652046822679903
