,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.784,0.9416216216216217,0.784,0.831484603278851,0.6939911504023318,0.7961149737154484,0.6840847811398607,0.709120349369985,0.5852994555353902
Car Evaluation,0.7947976878612717,0.7810745171842094,0.7947976878612717,0.779410514325994,0.6780401463968604,0.7935302321641616,0.5408163899764739,0.5423772367579699,0.3379574970484061
Contraceptive,0.576271186440678,0.6087000743959163,0.576271186440678,0.5854917511134944,0.48701673024145103,0.579075789634442,0.3589471913842613,0.3636960588603845,0.3021656423763535
Dermatology,0.3918918918918919,0.27837837837837837,0.3918918918918919,0.2970082795095662,0.6299671681250628,0.3778838412880966,0.3536541970761905,0.40271182044335196,0.0
Glass,0.5348837209302325,0.5118217054263566,0.5348837209302325,0.4668680041864013,0.5571612602875574,0.5327016447289744,0.41132287411730173,0.3943597376494048,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.5081967213114754,0.5113973458235753,0.5081967213114754,0.5071938989971777,0.30878014902415984,0.508486030747379,0.24962196764135394,0.246168309873395,0.0012368583797155224
New Thyroid,0.3023255813953488,0.5209302325581395,0.3023255813953488,0.24797081623347017,0.752991452991453,0.31431655382199974,0.28942029686062554,0.2377011028883003,0.6666666666666666
Page,0.0365296803652968,0.048484961770229734,0.0365296803652968,0.03719265707144004,0.4847736987153537,0.0373673097265277,0.16013094758705787,0.1972145955056017,0.01947006294832382
Pen Based,0.43519781718963163,0.4458714221060266,0.43519781718963163,0.3464126489316547,0.2936456379868088,0.4361469820959181,0.366488928598821,0.3896185855473517,0.0
Shuttle,0.4370689655172414,0.9386741193002136,0.4370689655172414,0.5831397814199494,0.38374190055799684,0.45938576949903615,0.331544274735401,0.32970889069141146,0.0
Vertebra,0.6935483870967742,0.7417457305502846,0.6935483870967742,0.7056847903622098,0.741890132141576,0.697669601047472,0.522944213380264,0.542176358960877,0.375
Wine,0.5833333333333334,0.5674074074074074,0.5833333333333334,0.508881430450058,0.7327777777777778,0.5818486731774687,0.4321909255721583,0.46683025265459027,0.05714285714285714
Yeast,0.39730639730639733,0.36460234095958904,0.39730639730639733,0.3209069111609468,0.3659200341072012,0.39409282546709923,0.289709178787556,0.264181654310243,0.0
FARS,0.5030206992175894,0.4283680009120216,0.5030206992175894,0.43850872818028874,0.5034886741154565,0.4951756604762417,0.2635127342931033,0.4646359803895113,0.0
