,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.648,0.8963261261261262,0.648,0.728251853237787,0.6767186202214587,0.6647423739044852,0.5112583304110788,0.5433598899634978,0.41379310344827586
Car Evaluation,0.8670520231213873,0.9002916959089635,0.8670520231213873,0.8758787759884961,0.6618973082785286,0.8699720450171304,0.7490072406407714,0.7504359533013296,0.6007628734901462
Contraceptive,0.559322033898305,0.5926909638266306,0.559322033898305,0.5661333367119235,0.5699296459809283,0.5621995101741859,0.3408519510909933,0.34152048973572907,0.324846356453029
Dermatology,0.36486486486486486,0.14684684684684685,0.36486486486486486,0.20345345345345345,0.779000104000104,0.3214755295836377,0.1729112266147751,0.22537688983760462,0.0
Glass,0.4186046511627907,0.4790697674418605,0.4186046511627907,0.4212674921977247,0.5199826932349182,0.4234634551495017,0.28820242480222313,0.2723959137507936,0.009259259259259259
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,1.0
Heart,0.5245901639344263,0.5330075662042876,0.5245901639344263,0.523877360184014,0.3272907866470226,0.5253443805828055,0.301110609653017,0.29644599466927496,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9971550189020526,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9159817351598174,0.9374446107213406,0.9159817351598174,0.924080467534689,0.7044105507861589,0.9178922098552824,0.6343460504914588,0.636798289839932,0.20237154150197628
Pen Based,0.7175989085948158,0.7058892221501838,0.7175989085948158,0.6956731111881972,0.7103267260032677,0.7165183623597491,0.6858807945808062,0.6899019318006259,0.015243368941486249
Shuttle,0.8314655172413793,0.9861648208909477,0.8314655172413793,0.8933609241391696,0.4689603460186577,0.8434944865219828,0.5461430402115623,0.6398913250390682,0.0
Vertebra,0.7903225806451613,0.8172043010752688,0.7903225806451613,0.7945637741154418,0.814989959892234,0.792693074288368,0.653566322404334,0.6807178562243448,0.5316666666666667
Wine,0.9444444444444444,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9969246031746031,0.9451604751074045,0.9242701736186122,0.9205607476635514,0.8571428571428571
Yeast,0.45791245791245794,0.5095409602269075,0.45791245791245794,0.458782659998205,0.42366786792354905,0.46216960960237374,0.3589473051677167,0.3461962575603333,0.0
FARS,0.6771813409923739,0.7274684823330703,0.6771813409923739,0.6729963307203891,0.39727193015744827,0.6814637965951291,0.4830561826131408,0.5856928507781813,0.0011528729760334024
