,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.56,0.5155844155844156,0.56,0.5346470629224445,0.5734272358011014,0.5556484595110426,0.13539795913576064,0.1895250853578534,0.3656987295825771
Car Evaluation,0.5433526011560693,0.7723404255319148,0.5433526011560693,0.5497082220153664,0.6599804492753475,0.5584033800972968,0.27268752935571866,0.3755529261932792,0.0
Contraceptive,0.29152542372881357,0.48225251780889217,0.29152542372881357,0.20066310769110182,0.6876373926300235,0.30239778328241224,0.14869836605077677,0.18460133611402083,0.0
Dermatology,0.36486486486486486,0.14684684684684685,0.36486486486486486,0.20345345345345345,0.6441816816816817,0.3214755295836377,0.1729112266147751,0.22537688983760462,0.0
Glass,0.3953488372093023,0.17212739145377476,0.3953488372093023,0.2366302930041676,0.613562391008261,0.3536548986239848,0.20154609676598553,0.26831696774852426,0.0
Hayes,0.46875,0.36354166666666665,0.46875,0.3393895348837209,0.7208333333333333,0.4567338197969544,0.2503527583529886,0.2792848008753788,0.0
Heart,0.4262295081967213,0.43366661955907293,0.4262295081967213,0.4098058472463549,0.5790517577862123,0.4268950521253567,0.20069891140008153,0.2523312222907178,0.0
New Thyroid,0.27906976744186046,0.13132152085640458,0.27906976744186046,0.160336148437825,0.7538236741725114,0.25317486204749284,0.30862289279178284,0.3364192474471549,0.8333333333333334
Page,0.02009132420091324,0.007784116142996969,0.02009132420091324,0.010392991611448714,0.6244873069749256,0.017566440802858126,0.10364485722343679,0.13778375028647613,0.0
Pen Based,0.1882673942701228,0.04735229954227562,0.1882673942701228,0.07263548496564352,0.5584327978841774,0.14817959893351915,0.08927578783697726,0.1493537367155597,0.0
Shuttle,0.0571551724137931,0.056207815931839836,0.0571551724137931,0.056251606671810554,0.6070397967791988,0.057067731508582305,0.19715785178039558,0.27336038805521284,0.0
Vertebra,0.6612903225806451,0.5542521994134897,0.6612903225806451,0.5788955713504648,0.8254154447702836,0.6498806809951129,0.4758096768153887,0.5953523699830584,0.0
Wine,0.6111111111111112,0.4125252525252525,0.6111111111111112,0.48076648076648076,0.8109066859066859,0.5854884955332813,0.4679961886636001,0.55673065564928,0.0
Yeast,0.026936026936026935,0.0022427666495463106,0.026936026936026935,0.003337272652945942,0.574586954819513,0.013461785484906872,0.03308239336211602,0.034380462625425066,0.0
FARS,0.37560661582648314,0.41551503373116966,0.37560661582648314,0.3944996032834391,0.5644809276667291,0.37891508413480535,0.2107356126025762,0.37078783369981766,0.0
