,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.824,0.8743915789473683,0.824,0.8458817437743078,0.7103168558961857,0.8283397811985671,0.5934148064527094,0.7087231052917693,0.7549909255898366
Car Evaluation,0.9797687861271677,0.9809699805326749,0.9797687861271677,0.9799587162745069,0.9631864299383772,0.9798778640464935,0.9574296306854609,0.9561985295903056,0.8391608391608392
Contraceptive,0.5016949152542373,0.5128581070946452,0.5016949152542373,0.5057927574972971,0.5510768828110773,0.502689629651554,0.23720464355004367,0.24024264902812767,0.20632133450395082
Dermatology,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9847848486390153,0.972972972972973,0.9647554683283758,0.9660706098120129,0.825
Glass,0.813953488372093,0.8655038759689923,0.813953488372093,0.8226260819284075,0.8733658813425631,0.8183847537815686,0.7703806536432994,0.7677178292179301,0.611111111111111
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.9567878231622574,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.5081967213114754,0.5009107468123862,0.5081967213114754,0.5040983606557377,0.30621821947010897,0.5075256130627973,0.22557833867332172,0.23662505122825883,0.0
New Thyroid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Page,0.9616438356164384,0.9671033452540303,0.9616438356164384,0.9635705130279962,0.9037853317675143,0.9621376062488195,0.8020950616445791,0.8176150550994116,0.6324110671936758
Pen Based,0.992269213278763,0.9923316249712502,0.992269213278763,0.992270885862377,0.9986582452541375,0.9922748867445806,0.9914557711695408,0.991415446043554,0.9298439414822123
Shuttle,0.9953448275862069,0.9972397084202469,0.9953448275862069,0.9960483814646317,0.707726187989529,0.9955167918658392,0.8815015822839481,0.9870619434634101,0.0
Vertebra,0.8064516129032258,0.8037680048195411,0.8064516129032258,0.8048380317021249,0.8198056478831933,0.806206908261728,0.6716287011629188,0.6889985134235486,0.6533333333333333
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.6026936026936027,0.6105487137584297,0.6026936026936027,0.605075449931485,0.5781655659729983,0.6033993417561764,0.4981887108892591,0.4912287067732094,0.0
FARS,0.7961275626423691,0.7885554856953745,0.7961275626423691,0.7901486944920196,0.5986022216752592,0.7954331881107296,0.6543331304203811,0.7239547268595357,0.041456934000532894
