,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.768,0.8144836601307189,0.768,0.7900108680108681,0.6772314121556414,0.7720053972239497,0.4791632615712696,0.6106544311172147,0.6787658802177858
Car Evaluation,0.9739884393063584,0.9745861876246183,0.9739884393063584,0.97407548483132,0.9883832993082591,0.9740427497616785,0.9428961436080993,0.9439278359822556,0.7781309599491418
Contraceptive,0.5254237288135594,0.5304657955488632,0.5254237288135594,0.5275428484079003,0.5373383975971143,0.5258781343688235,0.2672787300828722,0.2711085598850611,0.21071115013169447
Dermatology,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.9883005690297356,0.972972972972973,0.9647554683283758,0.9660706098120129,0.825
Glass,0.8372093023255814,0.8572233967582804,0.8372093023255814,0.8372617358583678,0.9113059683294734,0.8389900650716905,0.8017640904960256,0.7917047628175318,0.8
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.9670835041027348,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.5081967213114754,0.47786885245901645,0.5081967213114754,0.4925104468016715,0.29813063130639167,0.5052814843055027,0.20761171066914136,0.21983693334583818,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,1.0,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9698630136986301,0.9721403945111562,0.9698630136986301,0.9706882642933063,0.8849871803219814,0.9700696073069167,0.8348268926277743,0.8476841596119777,0.5251354120919339
Pen Based,0.9895407003183265,0.9896871688187024,0.9895407003183265,0.989546964186269,0.998257078524596,0.9895540138450665,0.9884320225550843,0.988391521646439,0.9039987970156905
Shuttle,0.9957758620689655,0.9974122161591756,0.9957758620689655,0.9963610531364967,0.7411712914781594,0.9959243996306926,0.8880049322487441,0.9882472238253893,0.0
Vertebra,0.7580645161290323,0.7606200251361542,0.7580645161290323,0.7509412367097377,0.7803548593273347,0.7582961253323273,0.5835817071172819,0.6185645544073405,0.5
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5858585858585859,0.5862106472179625,0.5858585858585859,0.5819108275755255,0.5764554696258326,0.585890573961543,0.4822459779280399,0.46037700658707764,0.0
FARS,0.5153015747251659,0.5755010556543908,0.5153015747251659,0.5190835312100139,0.30357266124444604,0.5202488383814312,0.2973488840313604,0.3643570775474203,0.00016794360208498155
