,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.8,0.9428571428571428,0.8,0.843170251919538,0.6977202494781215,0.8111731843575418,0.6994904521929439,0.7264248175511521,0.6122202056866303
Car Evaluation,0.7947976878612717,0.7810745171842094,0.7947976878612717,0.779410514325994,0.69435299043651,0.7935302321641616,0.5408163899764739,0.5423772367579699,0.3379574970484061
Contraceptive,0.5661016949152542,0.5910869800237841,0.5661016949152542,0.5738862987337228,0.48192307735081164,0.5682854643294726,0.340787755128791,0.34478493002920413,0.28167983611354985
Dermatology,0.5,0.28934592900110145,0.5,0.35325801992468664,0.6467271324655133,0.4689617506803486,0.39115568230212966,0.43504566012288803,0.0
Glass,0.5348837209302325,0.5118217054263566,0.5348837209302325,0.4668680041864013,0.5570951227214199,0.5327016447289744,0.41132287411730173,0.3943597376494048,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.47540983606557374,0.46967213114754097,0.47540983606557374,0.47049180327868856,0.3359388245399985,0.4748824400509209,0.19741172903992743,0.19544716203758158,0.0
New Thyroid,0.3023255813953488,0.5209302325581395,0.3023255813953488,0.24797081623347017,0.752991452991453,0.31431655382199974,0.28942029686062554,0.2377011028883003,0.6666666666666666
Page,0.0365296803652968,0.048484961770229734,0.0365296803652968,0.03719265707144004,0.46610002616708124,0.0373673097265277,0.16013094758705787,0.1972145955056017,0.01947006294832382
Pen Based,0.43519781718963163,0.4458714221060266,0.43519781718963163,0.3464126489316547,0.29257580830041413,0.4361469820959181,0.366488928598821,0.3896185855473517,0.0
Shuttle,0.45732758620689656,0.9292611534003158,0.45732758620689656,0.6020790354638887,0.36994899282889204,0.47946395408299947,0.3351743225838365,0.3323909042663774,0.0
Vertebra,0.6935483870967742,0.7417457305502846,0.6935483870967742,0.7056847903622098,0.7420664062216812,0.697669601047472,0.522944213380264,0.542176358960877,0.375
Wine,0.5833333333333334,0.5674074074074074,0.5833333333333334,0.508881430450058,0.7327777777777778,0.5818486731774687,0.4321909255721583,0.46683025265459027,0.05714285714285714
Yeast,0.39730639730639733,0.36460234095958904,0.39730639730639733,0.3209069111609468,0.3624081259248776,0.39409282546709923,0.289709178787556,0.264181654310243,0.0
FARS,0.5030206992175894,0.4283680009120216,0.5030206992175894,0.43850872818028874,0.5034886741154565,0.4951756604762417,0.2635127342931033,0.4646359803895113,0.0
