,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.776,0.8378709036742801,0.776,0.8049865288485978,0.6843871549583307,0.7812444945064385,0.4971975115585255,0.6298710232373167,0.6941923774954628
Car Evaluation,0.9826589595375722,0.9829682587972823,0.9826589595375722,0.9827612262099711,0.9866538505060162,0.9826870696085868,0.9578190790361569,0.9622183844528426,0.8536009445100355
Contraceptive,0.5050847457627119,0.5072941667029561,0.5050847457627119,0.5060749406263283,0.5282646718952194,0.5052848066321488,0.23705381007007556,0.2371744429334199,0.20368744512730463
Dermatology,0.918918918918919,0.925102375102375,0.918918918918919,0.9173891760098656,0.9593202744299236,0.9194776334619299,0.8967605066683609,0.900253567012387,0.56
Glass,0.813953488372093,0.8535689117084465,0.813953488372093,0.817025868188659,0.9103921654258089,0.8174022952814763,0.773877349814662,0.7691501633453176,0.7333333333333333
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.9650657924696388,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.47540983606557374,0.48941256830601093,0.47540983606557374,0.48213535098781,0.30476809925786474,0.4766496149282304,0.18953418337742958,0.19820392615218244,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9872213034405594,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9634703196347032,0.9680299315443387,0.9634703196347032,0.9651506884172932,0.8992856235220421,0.9638830541164332,0.8038723592363828,0.8226849746703704,0.5162348118869858
Pen Based,0.9899954524783993,0.9900801776100481,0.9899954524783993,0.9899998512132546,0.998235197830579,0.990003154163894,0.9889157633392519,0.9888902218846771,0.908391683606499
Shuttle,0.9955172413793103,0.9972910310611893,0.9955172413793103,0.9961805207757917,0.7293285753491896,0.9956782342110101,0.8818760332102326,0.9875285746057028,0.0
Vertebra,0.7903225806451613,0.7978147762747138,0.7903225806451613,0.7898231388448204,0.7812101867158079,0.7909978696240546,0.6429363382832592,0.6697210076914222,0.58
Wine,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966,1.0,0.9724160850780991,0.9609943054472779,0.9591605129565426,0.9285714285714286
Yeast,0.5791245791245792,0.5762441749283853,0.5791245791245792,0.5758315434828967,0.5474496032824269,0.5788615348258296,0.4666932381502425,0.454462367892238,0.0
FARS,0.7976626720808161,0.7906338047905079,0.7976626720808161,0.7912097378180809,0.5961082139443032,0.7970185240338593,0.6572358896309932,0.7261889887614279,0.03934722200294214
