,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.856,0.9485714285714285,0.856,0.8839165839126117,0.6923342014467294,0.8636622831252072,0.758154793663373,0.7910090121157164,0.7114337568058077
Car Evaluation,0.8352601156069365,0.8266361010173924,0.8352601156069365,0.8130405425171698,0.7493717462708077,0.8344686856711576,0.6576715608589895,0.6248655603398683,0.7662337662337663
Contraceptive,0.5525423728813559,0.5514693292545635,0.5525423728813559,0.5513229586475871,0.49303310629106867,0.5524446509360668,0.29631472118340124,0.30504577744268263,0.19754170324846357
Dermatology,0.6756756756756757,0.585472972972973,0.6756756756756757,0.608625867246557,0.6118304687913126,0.6663427524782931,0.6017995475624666,0.6363113797463597,0.0
Glass,0.3023255813953488,0.23765652951699465,0.3023255813953488,0.24356011363089222,0.6571813627318047,0.29502737120006206,0.20150471608496506,0.20045360956461783,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.45901639344262296,0.4867602868108655,0.45901639344262296,0.46916975145425704,0.2971952359728817,0.4614071972993714,0.20617440914908344,0.19487249190196168,0.0
New Thyroid,0.7906976744186046,0.6762075134168157,0.7906976744186046,0.7183013144590495,0.6597366597366597,0.7787117314619987,0.4272631692269395,0.5161793492651437,0.0
Page,0.9305936073059361,0.9128132586111558,0.9305936073059361,0.9213064683513399,0.49816441667173905,0.9289486396914621,0.5467637879747285,0.6110270910551261,0.0
Pen Based,0.21145975443383355,0.13094813960447718,0.21145975443383355,0.09915726246092342,0.25296370667287127,0.20026604960473499,0.12056536639658469,0.17436311058658324,0.0
Shuttle,0.5816379310344828,0.8000856124109084,0.5816379310344828,0.6694043081897121,0.33677102190937214,0.5964421891695546,0.24284679552350777,0.22384714593371996,0.0
Vertebra,0.7903225806451613,0.7883675464320625,0.7903225806451613,0.7890226798481168,0.7816275529201248,0.7901444496752744,0.6252919789585988,0.6633254854836617,0.6766666666666666
Wine,0.9166666666666666,0.9313725490196079,0.9166666666666666,0.9174426780538835,0.991005012144718,0.9179843475483149,0.8837839520195234,0.8800448660752226,0.9
Yeast,0.4511784511784512,0.23904441721617634,0.4511784511784512,0.29752893884630405,0.35363434955240003,0.4174968834364149,0.33295627229921787,0.36230778849487943,0.0
FARS,0.615281766861444,0.4832174086000469,0.615281766861444,0.5171376781309822,0.5722983816898681,0.6003653005540014,0.29756021327817817,0.5430279116157262,0.0
