,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.856,0.8687515151515152,0.856,0.8621168831168832,0.6819824836985603,0.857143739680443,0.6048502809628908,0.7505374000479114,0.8336358136721114
Car Evaluation,0.8670520231213873,0.8885351611041185,0.8670520231213873,0.8705160222749349,0.6013182190476996,0.8689620136170302,0.6986791552437714,0.7293596921535459,0.208836617927527
Contraceptive,0.576271186440678,0.5714748822718806,0.576271186440678,0.5728331948076737,0.6082356415492081,0.5758318344930035,0.33168731751341435,0.3391498785418609,0.2244659057652912
Dermatology,0.527027027027027,0.5444770857814336,0.527027027027027,0.4604958469471488,0.6536320515905859,0.5285670410670409,0.4083469672631209,0.459932853427497,0.0
Glass,0.5116279069767442,0.4934883720930232,0.5116279069767442,0.45964500615663406,0.5659322350477415,0.5099239370047466,0.37621687601798304,0.36664805814666557,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.5573770491803278,0.5365437158469945,0.5573770491803278,0.5423641069887835,0.335748486033859,0.5554164909978805,0.3199252713887022,0.3250318333546648,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9785157015357239,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9442922374429223,0.9411634856084012,0.9442922374429223,0.9421909059612776,0.7054572215090319,0.9440069461267957,0.6962784506452631,0.6882078743463821,0.1844532279314888
Pen Based,0.7030468394724875,0.72350424481565,0.7030468394724875,0.6925158288989606,0.6641333274951069,0.704858675249232,0.6747430265905953,0.6750885553221861,0.01868161205448046
Shuttle,0.9345689655172413,0.9351895473747001,0.9345689655172413,0.9266669122434609,0.4536088157864727,0.9346253480136731,0.6252584066922646,0.809286374534314,0.0
Vertebra,0.7903225806451613,0.816888045540797,0.7903225806451613,0.7975088453586219,0.7887009448368159,0.7926660130562663,0.6461421138062913,0.6768699800509865,0.58
Wine,0.8888888888888888,0.8931623931623931,0.8888888888888888,0.8898245614035089,0.9923790349473123,0.8892756986751764,0.8383479741981866,0.8323615370872263,0.7714285714285714
Yeast,0.3939393939393939,0.424536350293926,0.3939393939393939,0.32631284939834043,0.4723671319006223,0.3965374882459338,0.20836563226069565,0.2334516536026973,0.0
FARS,0.7664157670595226,0.7495618227022277,0.7664157670595226,0.7204297041095036,0.41275108396239346,0.7648523350158118,0.5647576651381458,0.6977807642578293,0.0
