,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.56,0.5155844155844156,0.56,0.5346470629224445,0.5341025604764261,0.5556484595110426,0.13539795913576064,0.1895250853578534,0.3656987295825771
Car Evaluation,0.6994219653179191,0.48919108556918045,0.6994219653179191,0.5757146789351579,0.6599804492753475,0.6731241040044471,0.0,0.0,0.0
Contraceptive,0.4271186440677966,0.18243033611031312,0.4271186440677966,0.25566246628286166,0.6876373926300235,0.3806986756771486,0.0,0.0,0.0
Dermatology,0.4864864864864865,0.34340222575516693,0.4864864864864865,0.3759213759213759,0.636743777025107,0.46873150522785567,0.29838879281338765,0.42826613360023325,0.0
Glass,0.4883720930232558,0.2649501661129568,0.4883720930232558,0.33399978954014525,0.6507475083056478,0.4535991726888842,0.28285854138882854,0.3863042450713774,0.0
Hayes,0.46875,0.36354166666666665,0.46875,0.3393895348837209,0.7208333333333333,0.4567338197969544,0.2503527583529886,0.2792848008753788,0.0
Heart,0.5409836065573771,0.2926632625638269,0.5409836065573771,0.37983955354028603,0.5217865356096701,0.502243092532808,0.0,0.0,0.0
New Thyroid,0.813953488372093,0.6903304773561811,0.813953488372093,0.7424449695311528,0.8050455596355229,0.8009147409770762,0.48393938613409526,0.5846502469904916,0.0
Page,0.9223744292237442,0.8865508452442067,0.9223744292237442,0.9037895301623574,0.6481163665732955,0.91899854516124,0.36557746408727826,0.5371603520863724,0.0
Pen Based,0.20509322419281492,0.058432909679433466,0.20509322419281492,0.08652278980787324,0.5574176782932311,0.16699063199974298,0.10479387172113036,0.1767536684072947,0.0
Shuttle,0.8411206896551724,0.7826766489202082,0.8411206896551724,0.8104632791253221,0.4935884923267673,0.8354493546648951,0.2528932787029297,0.4937529210730239,0.0
Vertebra,0.7741935483870968,0.6736242884250474,0.7741935483870968,0.7061343880031311,0.8177946447396164,0.7638266312409329,0.5211569962971865,0.681117881594259,0.9333333333333333
Wine,0.5833333333333334,0.4739873652917132,0.5833333333333334,0.5073486184597296,0.7456092619136098,0.5713508670890126,0.3304786297915628,0.416513219434335,0.0
Yeast,0.4208754208754209,0.18368873924429477,0.4208754208754209,0.25352220991755875,0.47413172666033504,0.3766608364785664,0.1691157361121671,0.30194047352098385,0.0
FARS,0.573685253045459,0.47855007294789037,0.573685253045459,0.4901468295814035,0.6069764199767,0.5635013090573665,0.27266567968646166,0.4975955490431867,0.0
