,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.872,0.8424013566986999,0.872,0.8568868103763244,0.7031949035667514,0.8692235392329469,0.5592322173524289,0.7720308959292213,0.8965517241379309
Car Evaluation,0.9913294797687862,0.9916905703565272,0.9913294797687862,0.9914015051432742,0.9996800731494336,0.9913622953194666,0.9773146052605547,0.9812277541362782,0.9958677685950413
Contraceptive,0.5627118644067797,0.5653447159108798,0.5627118644067797,0.5638083343504383,0.5613122343043265,0.5629502007770325,0.32568335782223373,0.3269065372318593,0.25870646766169153
Dermatology,0.9594594594594594,0.960933660933661,0.9594594594594594,0.9593288941115029,0.9816014919630116,0.9595932908382054,0.9470084641181085,0.9494175610078505,0.75
Glass,0.8372093023255814,0.8463643060086288,0.8372093023255814,0.8379521963824289,0.899522891753929,0.8380333831675965,0.7823957691989705,0.7799658319198289,0.24074074074074073
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.9526471308145515,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.639344262295082,0.5748412346773002,0.639344262295082,0.5983819459229295,0.3560617142960896,0.6328882178444301,0.3959660380844047,0.4235575871263556,0.0
New Thyroid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Page,0.9753424657534246,0.9752766806544921,0.9753424657534246,0.9752257213714348,0.9150475587332423,0.9753364849231615,0.863926139869087,0.8695545852044273,0.6007905138339921
Pen Based,0.9909049567985448,0.9909898949777242,0.9909049567985448,0.9908975441896964,0.9982819436454115,0.9909126778495325,0.9899490302863257,0.9899039392426958,0.9174076431816405
Shuttle,0.9983620689655173,0.9979444834329178,0.9983620689655173,0.9981315972503707,0.7579326219293883,0.9983240922038591,0.9066230339283714,0.9953889665630362,0.0
Vertebra,0.8548387096774194,0.8561357996841867,0.8548387096774194,0.8510803891449052,0.8095873798957163,0.854956464518602,0.7516234958737561,0.7696403113596728,0.7
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5959595959595959,0.5945926720512632,0.5959595959595959,0.5914457320329515,0.5889990099617861,0.5958350704969527,0.5108698234950522,0.4733465391347064,0.0
FARS,0.8026146380112905,0.7929742216204736,0.8026146380112905,0.7863030991492306,0.6021373223605572,0.8017285611547247,0.6623705916563439,0.7335870713408578,0.011971729167285576
