,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.792,0.8205194805194805,0.792,0.8060075187969925,0.6781130839456709,0.7945104967782166,0.4812000664854208,0.643907844500128,0.73502722323049
Car Evaluation,0.9913294797687862,0.9915695378881202,0.9913294797687862,0.9913050730668915,0.9998641712829739,0.9913512984309455,0.9810052810515119,0.9811240424618446,1.0
Contraceptive,0.5322033898305085,0.5325998251238706,0.5322033898305085,0.5319290112948957,0.5260255582997612,0.5322394050139901,0.2756875529067651,0.2786791667288132,0.20866256950541412
Dermatology,0.9594594594594594,0.9606879606879607,0.9594594594594594,0.959543394326003,0.9899402295235628,0.9595710115417126,0.9474914534362975,0.9493468046745792,0.75
Glass,0.813953488372093,0.8297555158020274,0.813953488372093,0.8145485866416098,0.8848733312267788,0.8153651223669791,0.7518373608035911,0.7477732444449341,0.19259259259259257
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.94989559941483,0.843885064831119,0.7849926040784544,0.755008600417673,0.8461538461538461
Heart,0.6065573770491803,0.5784993694829761,0.6065573770491803,0.5878323505907255,0.4035092246487298,0.6038946757293925,0.3481595191283463,0.368142039797391,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,1.0,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.8420091324200913,0.908590456472826,0.8420091324200913,0.8711898485062324,0.42097392942697204,0.8476560472313197,0.3848641251013226,0.4118054887776858,0.010628019323671498
Pen Based,0.9909049567985448,0.9909828551112911,0.9909049567985448,0.9909117517309971,0.9982742842866129,0.9909120379572733,0.9899305900206052,0.989899716692801,0.9166026263971595
Shuttle,0.37560344827586206,0.8801769031544099,0.37560344827586206,0.5194808336109812,0.29405057594595085,0.3962541879050511,0.18951821770851224,0.23547126208598912,0.0
Vertebra,0.8064516129032258,0.8113159242191501,0.8064516129032258,0.8075617082408254,0.7805368632224846,0.8068914114292063,0.6662577663889805,0.6932092425129591,0.6283333333333334
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.6161616161616161,0.6085531014248474,0.6161616161616161,0.6079581820942442,0.48849553192871814,0.6154620802390757,0.5109679116129573,0.4983458387230193,0.0
FARS,0.24343864514212143,0.4651468464355248,0.24343864514212143,0.29438478178078503,0.25872923838921774,0.25446486952849284,0.10484625334767085,0.12414546656941569,1.8388262050127527e-06
