,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.904,0.9301428571428572,0.904,0.913933701386333,0.7234278508840598,0.9063157423220135,0.77115613083467,0.8397689859595135,0.8496672716273442
Car Evaluation,0.8728323699421965,0.871753541680769,0.8728323699421965,0.8704700210836699,0.8612098491505633,0.8727341843200056,0.7427216561094463,0.7171834745671071,0.5744255744255745
Contraceptive,0.535593220338983,0.5552699171864991,0.535593220338983,0.5409999529559477,0.4740957795344971,0.5373241991999342,0.29789281278523805,0.3003057183879498,0.2544629792215394
Dermatology,0.8378378378378378,0.7645489645489645,0.8378378378378378,0.7913800500007397,0.9408887794304461,0.8305996177815449,0.799605613601481,0.8134964285474786,0.0
Glass,0.6744186046511628,0.6320044296788483,0.6744186046511628,0.6476744186046512,0.6412594266984798,0.6703289541511406,0.585192940509305,0.5645215907144052,0.0
Hayes,0.59375,0.390625,0.59375,0.4583333333333333,0.8333333333333334,0.5669487847222222,0.46578656903983773,0.5196152422706632,0.0
Heart,0.639344262295082,0.5680538041193779,0.639344262295082,0.5921510183805266,0.4257375114582488,0.6321322378930038,0.4221243589744974,0.44923175334876847,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.974386004189801,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9214611872146119,0.9436986400713586,0.9214611872146119,0.9281432163578485,0.6858282698454781,0.9234393745381532,0.6716565667578501,0.6811131879526935,0.0
Pen Based,0.4747612551159618,0.43209519815602343,0.4747612551159618,0.41138634513715217,0.3561237429718563,0.4705374431919635,0.4160553630874755,0.43037408178375597,0.0
Shuttle,0.7462931034482758,0.7992928469666883,0.7462931034482758,0.7715623042792584,0.4227283059816355,0.7508190606792949,0.3409791876309466,0.3788442371565905,0.0
Vertebra,0.7741935483870968,0.7721774193548387,0.7741935483870968,0.7305675414685425,0.7556086991225112,0.7740098289878591,0.5593249845561382,0.6665616715220409,0.8866666666666666
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.468013468013468,0.5516326010665854,0.468013468013468,0.495266825882748,0.49454299009965574,0.4745530168796204,0.3639908705945934,0.3461609962424859,0.0
FARS,0.6750024759829653,0.7283264970468024,0.6750024759829653,0.6496626608098436,0.45650231281110004,0.6795253003903693,0.48761607062964624,0.5897420407237173,0.0007011966034414956
