,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.816,0.8361803645666773,0.816,0.8255527583527583,0.6927167985803608,0.8177942394631839,0.5096400142528358,0.6834395162726882,0.779189352692075
Car Evaluation,0.9971098265895953,0.9973025048169557,0.9971098265895953,0.9971502121544917,0.9986842836187321,0.9971273397155564,0.9909774990865112,0.9937187686917188,1.0
Contraceptive,0.5152542372881356,0.5187240750865683,0.5152542372881356,0.5165292765323322,0.5193988694571477,0.5155677577089443,0.25029008275273795,0.25470833525797026,0.1952004682470003
Dermatology,0.9324324324324325,0.9377149877149877,0.9324324324324325,0.9325211911418808,0.971376566222735,0.9329102040553423,0.9138638866738257,0.9163998348962833,0.63
Glass,0.7674418604651163,0.7782895399174468,0.7674418604651163,0.7647322364884515,0.9056122473600391,0.7684155019774719,0.7083925543746955,0.6993758054913398,0.4888888888888888
Hayes,0.84375,0.8452380952380952,0.84375,0.8435185185185186,0.9678481743244186,0.843885064831119,0.7849926040784544,0.755008600417673,0.7692307692307693
Heart,0.5245901639344263,0.4974238875878221,0.5245901639344263,0.5106075216972035,0.33360843038269034,0.5219984919149887,0.22731020700869112,0.24836707142920766,0.0
New Thyroid,0.9767441860465116,0.9774943735933983,0.9767441860465116,0.9760403530895334,0.9920871386635374,0.9768123373293784,0.9527896478977258,0.9503879926647365,0.8571428571428571
Page,0.9707762557077626,0.9702988792029889,0.9707762557077626,0.9702893281467204,0.8958975666392266,0.9707328384343079,0.834287259086107,0.8420347891982548,0.4300395256916996
Pen Based,0.9899954524783993,0.9901344289373146,0.9899954524783993,0.9900098744954594,0.9981655942264618,0.9900080850897756,0.9889073897669031,0.988894039606487,0.9078313093981437
Shuttle,0.9982758620689656,0.997776818160988,0.9982758620689656,0.9980175587655773,0.7274969204091712,0.9982304738138289,0.9056556845313307,0.9951456467774661,0.0
Vertebra,0.7741935483870968,0.7719256116758718,0.7741935483870968,0.7721962759887555,0.7797973041682128,0.7739868217872813,0.6080545865338963,0.6388322898544417,0.58
Wine,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9910211996609055,0.9444444444444443,0.9193722943722943,0.9158878504672897,0.9285714285714286
Yeast,0.6161616161616161,0.6108060300229231,0.6161616161616161,0.6092745450298885,0.583885902796387,0.6156708669490322,0.5206832663392262,0.4989379830715608,0.0
FARS,0.8021194414182431,0.7936276252501635,0.8021194414182431,0.7867885578252788,0.6024166932459064,0.8013399561351371,0.6633732610289919,0.7329120630751147,0.014491776445524455
