,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.888,0.8571655806182122,0.888,0.8687556984219754,0.6843272131424696,0.8851055009852333,0.6213447694080401,0.805108843322122,0.9322033898305084
Car Evaluation,0.8497109826589595,0.8680630025517555,0.8497109826589595,0.840496720105744,0.5455363152097352,0.8513472213668406,0.594444415744352,0.6852343970973255,0.040596199795198545
Contraceptive,0.576271186440678,0.609650255582459,0.576271186440678,0.5731876284009099,0.6141514364211074,0.5791538551058514,0.35126600631217203,0.3507586602371434,0.21366496853461192
Dermatology,0.8783783783783784,0.9054054054054054,0.8783783783783784,0.8689029840884889,0.843492800500751,0.8807685236256663,0.8378760409733099,0.8489788061446799,0.19999999999999998
Glass,0.627906976744186,0.613999088007296,0.627906976744186,0.6139236672522167,0.6024524860445916,0.6266166410218644,0.49943072205294115,0.5138414262560304,0.0
Hayes,0.5,0.3076923076923077,0.5,0.3611111111111111,0.8333333333333334,0.4731182795698925,0.441291712605216,0.4864272707980575,1.0
Heart,0.5409836065573771,0.4819809891169582,0.5409836065573771,0.5071478665982041,0.348865193525444,0.5350293669857954,0.29871254134429454,0.31602526277395127,0.0
New Thyroid,0.9767441860465116,0.9775461106655975,0.9767441860465116,0.9760537300316982,0.9814003422685689,0.976817033912416,0.9541707420154828,0.9551059868121952,0.8571428571428571
Page,0.9497716894977168,0.9479048101921566,0.9497716894977168,0.948764857794549,0.6953654294159245,0.9496016693854132,0.7192916455271398,0.7379638638960155,0.06470867151981703
Pen Based,0.6766712141882674,0.6749399919975636,0.6766712141882674,0.6677269993134485,0.6663113870024275,0.6765134634475798,0.6408800340464406,0.6424410279807825,0.010803237303667525
Shuttle,0.9907758620689655,0.9895147168137876,0.9907758620689655,0.9900928364971185,0.43014455634947246,0.9906610796776216,0.7361932006938493,0.974013471548141,0.0
Vertebra,0.7741935483870968,0.787442396313364,0.7741935483870968,0.7762096774193549,0.7595956965730357,0.77537953823743,0.5945371370404349,0.6389867221405217,0.5
Wine,0.9444444444444444,0.9462962962962962,0.9444444444444444,0.9439974457215836,1.0,0.9446124950573349,0.9153805735278265,0.9147982068482938,0.8125
Yeast,0.48148148148148145,0.4727642545454815,0.48148148148148145,0.45831765024577115,0.4777863847272189,0.4806757446017581,0.3457954612872498,0.3313285953762199,0.0
FARS,0.7729523620877489,0.7587171386519216,0.7729523620877489,0.7209538344812703,0.47443218766667195,0.7716362153523129,0.5728491075763099,0.7069515436301682,2.6655726517573256e-05
