,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.56,0.5144088050314465,0.56,0.5315219347581552,0.5686248429288084,0.5555240751970892,0.14425413690869024,0.20067814317562901,0.3725731895223421
Car Evaluation,0.6791907514450867,0.4613000768485415,0.6791907514450867,0.5494314168316536,0.6612120614889346,0.651227037272088,0.0,0.0,0.0
Contraceptive,0.4406779661016949,0.19419706980752657,0.4406779661016949,0.2695912263210369,0.6921322511790958,0.3950905902980713,0.0,0.0,0.0
Dermatology,0.5945945945945946,0.4602035070785071,0.5945945945945946,0.49531609531609533,0.6568552927927928,0.5792176639021673,0.3533528647703035,0.5180130666679624,0.0
Glass,0.5116279069767442,0.3162790697674419,0.5116279069767442,0.37209302325581395,0.6666666666666666,0.4844274359729174,0.31192738656308794,0.4374389776132048,0.0
Hayes,0.34375,0.28830645161290325,0.34375,0.20601045296167247,0.6936043906810037,0.33784364261168387,0.1649893734923679,0.18186457702723985,0.16666666666666666
Heart,0.47540983606557374,0.2260145122278957,0.47540983606557374,0.3063752276867031,0.5919589401240051,0.43206762878894023,0.0,0.0,0.0
New Thyroid,0.7906976744186046,0.6555625392834695,0.7906976744186046,0.7112701252236135,0.808895274011553,0.7761528421119654,0.4878025217672051,0.5906378372026361,0.0
Page,0.9305936073059361,0.8970448042614113,0.9305936073059361,0.9132464712824032,0.6588742522822587,0.9274403732574507,0.4051523475551573,0.6055997126728885,0.0
Pen Based,0.20327421555252387,0.061138317848552705,0.20327421555252387,0.0888254579834255,0.5600055376631536,0.16780830887927148,0.10605881776969193,0.17955113015512889,0.0
Shuttle,0.8401724137931035,0.7827512335275437,0.8401724137931035,0.8103302945375633,0.4398434711244761,0.8346064878251859,0.25570588908393976,0.49790198173506867,0.0
Vertebra,0.8064516129032258,0.6903225806451613,0.8064516129032258,0.7338709677419355,0.8333333333333334,0.7943042245917127,0.5535260863586055,0.7228063223242011,1.0
Wine,0.6666666666666666,0.5671296296296295,0.6666666666666666,0.5951417004048584,0.769510582010582,0.6561967372778181,0.40291148201269017,0.5175491695067657,0.0
Yeast,0.42424242424242425,0.18980096321868475,0.42424242424242425,0.2609224311351971,0.491973163544971,0.3814133034791174,0.1590152997326959,0.2878269068853335,0.0
FARS,0.575814598395563,0.4806521630211045,0.575814598395563,0.4924764749368997,0.6048819523048399,0.5656339041430836,0.2731726017753749,0.4989065136826284,0.0
