,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.88,0.8462666666666666,0.88,0.8605199123127513,0.723314027281404,0.8768226059654631,0.6089426290376956,0.788487516140403,0.9152542372881356
Car Evaluation,0.9739884393063584,0.9807080924855491,0.9739884393063584,0.9756278558502895,0.9789735458934857,0.9745955093744201,0.9331660403210184,0.9469181799530857,0.9090909090909091
Contraceptive,0.5491525423728814,0.5472727636345455,0.5491525423728814,0.543967839620525,0.5649971876349907,0.5489811199528699,0.2894131146619101,0.29771154018173596,0.18264908600539406
Dermatology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Glass,0.9069767441860465,0.9143410852713177,0.9069767441860465,0.9077804568198905,0.9700878406374391,0.9076413241374361,0.8834316513408406,0.8829851624965809,0.5892857142857143
Hayes,0.71875,0.7678571428571428,0.71875,0.7166666666666666,0.9122917482843954,0.7229532163742691,0.5853743835871965,0.5614443050069801,0.45
Heart,0.47540983606557374,0.38114754098360654,0.47540983606557374,0.42305890830480997,0.35468700729014013,0.46495627370466724,0.18151598747487493,0.2058806080326021,0.0
New Thyroid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Page,0.9753424657534246,0.9767935716245589,0.9753424657534246,0.9756811556988354,0.8872570758797547,0.9754742062849872,0.8588435921949182,0.8778365638867953,0.623546146765961
Pen Based,0.9945429740791268,0.9945782541844554,0.9945429740791268,0.9945430605006529,0.999724596273244,0.9945461812580016,0.9939368850050344,0.9939385483618434,0.9507584955388013
Shuttle,0.9983620689655173,0.9981125590791438,0.9983620689655173,0.9981818975548554,0.698066618703373,0.9983393810939054,0.8947166914365089,0.9954068600443516,0.0
Vertebra,0.8387096774193549,0.8305396923393528,0.8387096774193549,0.8334640076575561,0.839690152415815,0.83796031546962,0.6910780631054454,0.7344524118660931,0.7777777777777778
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.5824915824915825,0.5786127934661963,0.5824915824915825,0.5785621148872264,0.5662460751388897,0.5821368177028458,0.4778164919473453,0.45416398409085923,0.0
FARS,0.8052886996137466,0.7947513540616146,0.8052886996137466,0.7897334281962827,0.664366629475973,0.804319226630791,0.6632540753563153,0.7364503224955631,0.011225120240000455
