,accuracy,precision,recall,f1,Macro-Averaged AUPRC,F_measure Beta=10,Modified mcc,MCC metirc,Gmean
Balance Scale,0.912,0.9146724191063175,0.912,0.912280701754386,0.7164168058585902,0.9122423017252154,0.7931518154265443,0.8489664369859969,0.8819722650231124
Car Evaluation,0.846820809248555,0.8483321315233637,0.846820809248555,0.8440342437813537,0.703940972339111,0.8469579796297468,0.688469249997728,0.6768539672288999,0.4973034474911822
Contraceptive,0.4440677966101695,0.5232605920509333,0.4440677966101695,0.45483025994075704,0.44357669292109153,0.45026279247063694,0.19930041226129594,0.2033055274048482,0.17395864548996104
Dermatology,0.9594594594594594,0.9695945945945946,0.9594594594594594,0.9576774576774577,1.0,0.960372071500797,0.943534149980527,0.947798217129182,0.625
Glass,0.8604651162790697,0.8697674418604653,0.8604651162790697,0.8521340105141227,0.8359726849597834,0.8613025519153511,0.8240128384583486,0.8203418178206573,0.2857142857142857
Hayes,0.6875,0.4951923076923077,0.6875,0.5684523809523809,0.8333333333333334,0.6640558397271953,0.4934614871384205,0.5674984825977337,0.0
Heart,0.5081967213114754,0.4990752416981925,0.5081967213114754,0.5010457238036794,0.344779560103888,0.5073537409680678,0.27423504654556574,0.2949421277640567,0.0
New Thyroid,0.9534883720930233,0.9560723514211887,0.9534883720930233,0.9532779122382405,0.9759672537712981,0.9537227019952333,0.9133617017264181,0.9105283335830304,0.8571428571428571
Page,0.8356164383561644,0.9457712740192206,0.8356164383561644,0.8757542815784032,0.649908981438539,0.8445588504609188,0.5616461231615866,0.5656112992307685,0.3108108108108108
Pen Based,0.29376989540700316,0.28490054135534276,0.29376989540700316,0.2159291728886221,0.252146589672884,0.2929408354342284,0.227481375746529,0.2462863319442523,0.0
Shuttle,0.7343103448275862,0.9016036172940051,0.7343103448275862,0.8038086889310948,0.33730277870584263,0.7469094027552501,0.4288790736614116,0.5022018734964837,0.0
Vertebra,0.8548387096774194,0.8494623655913979,0.8548387096774194,0.8518070989319236,0.8559501026362111,0.8543471405516704,0.7251947535822887,0.7610776470580579,0.7777777777777778
Wine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Yeast,0.4444444444444444,0.5039305508125285,0.4444444444444444,0.45747215115504347,0.45396031232204076,0.44926564703858113,0.33848052568281206,0.305759951073803,0.0
FARS,0.6305338219273051,0.704565993033209,0.6305338219273051,0.636152447888439,0.4156111963262197,0.6366149331263602,0.4465986695903909,0.5276616628883185,0.0025686709986548926
